Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,77496740.74,87879333.33,109079962.96,131431037.04,147841740.74,164369296.30,182144111.11,208372851.85,240923925.93,290440148.15,337174851.85,398637740.74,438794777.78,459469074.07,481706333.33,499281148.15,535172777.78,589429592.59,577280740.74,633730629.63,680617111.11,727860592.59,766198925.93,830158777.78,800740259.26,814615333.33,855643111.11,919577148.15,1022191296.30,1157005444.44,1311401333.33,1368431037.04,1224253000.00,1152469074.07,1142042925.93,1211411703.70,1192925407.41,1280133333.33,1364863037.04,1460144703.70,1532397555.56
Australia,AUS,18573188486.95,19648336879.83,19888005375.74,21501847911.30,23758539590.10,25931235300.71,27261731436.89,30389741292.42,32657632433.64,36620002239.89,41261059469.15,45138313360.96,51954439252.34,63721973094.17,88809137803.98,97147343984.71,104894743476.62,110174351915.58,118309271373.79,134679086675.00,149738161559.89,176599326599.33,193721725697.89,176986429574.17,193194167723.24,180190994860.78,181977476217.12,189041159343.57,235699941792.78,299317645142.90,310838014621.01,325358292127.78,324878105052.68,311528948847.67,322201314424.08,367216364716.37,400302731411.23,434568007512.91,398899138574.24,388395162301.04,415034227218.49,378215090694.43,394486709920.47,466294700058.24,611904253805.66,692641708013.83,745521862833.18,851962785585.30,1052584601611.46,926448240318.07,1144260547872.81,1394280784777.68,1543411012579.91,1573696522006.77,1464955475993.76,1349034029453.37,1208039015868.39,1323421072479.07
Austria,AUT,6592693841.18,7311749633.36,7756110210.12,8374175257.73,9169983885.71,9994070615.86,10887682273.10,11579431668.92,12440625312.87,13582798556.24,15373005768.72,17858485956.60,22059612417.41,29515467987.91,35189299985.28,40059206763.06,42959976068.11,51545759220.71,62052258694.21,73937296654.66,82058912465.43,71034228097.46,71275287327.58,72121016623.26,67985345161.96,69386774474.59,99036165209.55,124168442860.25,133339397080.13,133105805928.24,166463386663.44,173794177725.40,195078126346.11,190379720927.48,203535242741.84,241038283062.65,237250948791.27,212790348404.56,218259904401.96,217185787342.85,196799778883.36,197337879194.63,213377771503.86,261695778781.04,300904221504.84,315974418604.65,335998557270.10,388691445387.35,430294287388.31,400172297860.52,391892746544.69,431120310088.82,409425234155.26,430068712971.87,441885415805.83,382065930307.98,390799991147.47,416595666396.64
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006035.92,8792365810.51,4991350457.54,3973027396.65,3313739673.55,3052467522.36,3176749593.12,3962710163.11,4446396217.63,4581222442.46,5272617196.05,5707720390.85,6235795103.89,7276013031.97,8680472168.52,13245716099.01,20982986344.30,33050343782.78,48852482960.08,44291490420.50,52902703376.11,65951627200.20,69683935845.21,74164435946.46,75244294275.15,53074370486.04,37867518957.20,40747792237.97
Burundi,BDI,195999990.00,202999992.00,213500006.00,232749998.00,260750008.00,158994962.96,165444571.43,178297142.86,183200000.00,190205714.29,242732571.43,252842285.71,246804571.43,304339839.55,345263492.06,420986666.67,448412753.62,547535555.56,610225555.56,782496666.67,919726666.67,969046666.67,1013222222.22,1082926304.46,987143931.17,1149979285.77,1201725497.07,1131466494.01,1082403219.49,1113924130.41,1132101252.52,1167398478.35,1083037670.60,938632612.03,925030590.15,1000428393.89,869033856.32,972896267.92,893770806.08,808077223.37,870486065.88,876794723.07,825394490.16,784654423.62,915257323.40,1117257279.46,1273180597.03,1356078278.19,1611634331.65,1739781488.75,2026864469.36,2355652125.85,2472384907.00,2714505634.53,3093647226.81,3066681386.75,3007029030.40,3477502178.28
Belgium,BEL,11658722590.99,12400145221.60,13264015675.32,14260017387.05,15960106680.67,17371457607.94,18651883472.48,19992040788.46,21376353113.48,23710735894.70,26849148285.60,29981290025.49,37408591329.85,47999363071.83,56333010459.82,66029748930.57,71494539498.43,83283328418.68,101788475086.46,116938066868.47,127508202372.74,105290614080.83,92588895020.31,87650915976.33,83795680815.41,86730038793.40,120661220335.92,150194077687.74,163167853538.12,165100094594.60,206430841501.69,211637816538.69,236038384441.66,225924679920.71,246194938750.90,289567323481.12,281358175895.77,254813599458.73,260601911535.90,260202429149.80,237904919845.22,237841968680.09,258860436664.78,319002821670.43,370885026074.00,387365750528.54,409813197842.18,471821105940.32,518625897172.99,484552792442.35,483548031197.11,527008453886.93,497884216568.87,520925468952.94,530770977633.62,455039563132.78,467545548764.57,492681283049.25
Benin,BEN,226195579.36,235668222.43,236434906.75,253927646.48,269818988.26,289908720.65,302925280.77,306222000.41,326323097.36,330748211.46,333627758.15,335072975.22,410331900.95,504376035.72,554654786.97,676870140.34,698408244.39,750049739.15,928843304.78,1186231265.18,1405251547.24,1291119965.11,1267778489.03,1095348302.92,1051133927.00,1045712703.03,1336102040.71,1562412030.35,1620246187.15,1502294411.46,1959965243.76,1986437859.90,1695315305.70,2274557914.07,1598075932.35,2169627250.93,2361116587.86,2268301537.65,2455092582.31,2689787917.51,2569186642.87,2680213931.46,3054571081.69,3905366187.87,4521424807.23,4803702821.08,5142380779.44,5969535131.58,7132787396.67,7097198711.61,6970240895.50,7814081155.65,8152554487.31,9157355679.70,9707432015.61,8291155880.60,8573159696.61,9273558271.65
Burkina Faso,BFA,330442817.17,350247237.12,379567178.26,394040749.13,410321785.63,422916848.42,433889831.58,450753993.18,460442864.21,478298781.55,458404330.13,482411278.98,578595583.98,674773821.15,751133642.65,939972703.46,976547572.22,1131225278.78,1475584037.28,1748480982.19,1928720390.29,1775842679.94,1754450379.21,1600278756.44,1459880352.65,1552493413.99,2036303381.20,2369835438.62,2616040645.87,2615588545.69,3101301780.95,3135045684.10,2240264711.55,2332018010.55,1895290964.81,2379518099.23,2586550747.10,2447669403.89,2804902723.73,2993753187.10,2628920056.10,2812845513.57,3205592289.80,4205691222.11,4838551099.71,5462709498.45,5816310157.72,6771277870.96,8369637065.40,8369175126.25,8979966766.07,10724063457.83,11166063466.56,11947176342.00,12377391462.64,10419303761.35,11448781714.31,12873114800.02
Bangladesh,BGD,4274893913.50,4817580183.60,5081413339.79,5319458351.16,5386054619.35,5906636557.00,6439687598.32,7253575399.32,7483685473.51,8471006100.95,8992721809.39,8751842839.80,6288245866.67,8086725729.34,12512460519.71,19448348073.46,10117113333.33,9651149301.87,13281767142.86,15565480321.94,18138049095.61,20249694002.45,18525399201.60,17609048821.55,18920840000.00,22278423076.92,21774033333.33,24298032258.06,26579005760.35,28781714763.80,31598341233.56,30957483949.58,31708874594.16,33166519417.99,33768660882.79,37939748768.66,46438484107.58,48244309133.49,49984559471.37,51270569883.53,53369787318.62,53991289844.33,54724081490.51,60158929188.26,65108544250.04,69442943089.43,71819083683.74,79611888213.15,91631278239.32,102477791472.39,115279077465.23,128637938711.39,133355749482.48,149990451022.29,172885454931.45,195078665827.57,221415162445.65,249723887765.42
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,19839230769.23,19870000000.00,19342000000.00,16563666666.67,17594944444.44,17155421052.63,20249294117.65,28101000000.00,22555941176.47,21988444444.44,20632090909.09,10943548387.10,10350515463.92,10829710144.93,9697416974.17,13063422619.05,10109612141.65,11195612105.36,14630992956.15,13495075365.95,13153016530.87,14075616789.49,16276456427.54,20982685981.42,25957970922.48,29636617749.83,34130122490.86,44411476557.03,54409138498.35,51884481410.39,50610058210.37,57418414504.09,53903022339.03,55758754071.66,56731990231.99,50199104511.45,53240893665.16,56831518294.44
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,3072698328.47,3467819148.94,3645744680.85,3735106382.98,3905585106.38,3651861702.13,3052393617.02,3392021010.64,3702393617.02,3863563829.79,4229787234.04,4616223404.26,4751063829.79,5200265957.45,5567553457.45,5849467819.15,6101861436.17,6349202393.62,6183776595.74,6621010372.34,9062906914.89,8976207712.77,9632155053.19,11074822074.47,13150166755.32,15968726861.70,18505053191.49,21730000000.00,25710877659.57,22938218085.11,25713271276.60,28776595744.68,30749308510.64,32539547872.34,33387712765.96,31125851063.83,32152686170.21,35307127659.57
"Bahamas, The",BHS,169803921.57,190098039.22,212254901.96,237745098.04,266666666.67,300392156.86,340000000.00,390196078.43,444901960.78,528137254.90,538423153.69,573400000.00,590900000.00,670900000.00,632400000.00,596200000.00,642100000.00,713000000.00,832400000.00,1139800100.00,1335300000.00,1426500000.00,1578300000.00,1732800000.00,2041100000.00,2320699900.00,2472500000.00,2713999900.00,2817900000.00,3062000000.00,3166000000.00,3111160000.00,3109000000.00,3092000000.00,3259000000.00,3429000000.00,3609000000.00,6332360000.00,6833220000.00,7683870000.00,8076470000.00,8317830000.00,8881160000.00,8870090000.00,9055290000.00,9836200000.00,10167250000.00,10618340000.00,10526000000.00,9981960000.00,10095760000.00,10070450000.00,10720500000.00,10627600000.00,10957300000.00,11792300000.00,11838800000.00,12162100000.00
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469.14,1866572953.74,2786045321.64,3671816504.24,4116699437.40,4685729738.56,5505984455.96,5748990666.18,6651226179.02,8370020196.19,10022840634.92,11225138297.20,12866524918.22,15776422673.20,19112739664.47,17613836209.96,17176781336.76,18644723860.97,17226849297.07,18178503835.45,18558343508.34,16209702863.62,16911088173.75,18168579578.20
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000.00,18000000000.00,17037037037.04,16280991735.54,14932024169.18,13972676840.92,14756846153.85,14128408565.71,15222012660.42,12138486532.02,12736856827.98,12354820143.88,14594249022.89,17827791321.31,23144351851.85,30207567316.62,36954312354.31,45277399813.61,60763483146.07,49209523809.52,57222490768.71,61757788944.72,65685102554.88,75527984234.23,78813839984.35,56454734396.58,47722657820.67,54442374372.51
Belize,BLZ,28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500.00,78343558.28,103216374.27,118066298.34,96905829.60,117650000.00,136300000.00,151800000.00,194750000.00,192900000.00,179250000.00,189000000.00,210900000.00,209150000.00,227850000.00,276550000.00,314900000.00,363150000.00,413050000.00,444720750.00,518239100.00,559858250.00,580863700.00,620140400.00,641383800.00,654314350.00,688992450.00,732732350.00,832072450.00,871860600.00,932551850.00,990374050.00,1057845500.00,1114222550.00,1217467600.00,1290573400.00,1368625150.00,1336957250.00,1397113450.00,1487005600.00,1573670250.00,1612573850.00,1703951050.00,1778567600.00,1820158550.00,1838000000.00
Bermuda,BMU,84466654.08,89249986.70,94149985.97,96366652.31,107566650.64,114339048.96,134173373.78,155102984.62,150000000.00,164900000.00,186300000.00,211100000.00,235400000.00,269500000.00,312600000.00,345000000.00,386300000.00,447000000.00,475800000.00,517200000.00,613299968.00,739100032.00,785500032.00,889400000.00,985699968.00,1039500032.00,1173500032.00,1296499968.00,1415100032.00,1501500032.00,1592400000.00,1634899968.00,1679900032.00,1820359936.00,1867160064.00,2030749952.00,2695390000.00,2932827000.00,3130748000.00,3324433000.00,3480219000.00,3680483000.00,3937228000.00,4186525000.00,4484703000.00,4868136000.00,5414299000.00,5895048000.00,6109928000.00,5806378000.00,5744414000.00,5550771000.00,5537537000.00,5573710000.00,,,,
Bolivia,BOL,563110051.92,612518906.83,669722541.28,721142957.31,812543072.51,908874537.04,994044553.87,1084059814.81,908874537.04,964615698.65,1017171717.17,1095454545.45,1257615644.98,1263018490.75,2100249875.06,2404697651.17,2732083958.02,3227436281.86,3758220889.56,4421343606.18,4537487842.58,5891606676.18,5594118400.17,5422656261.71,6169481549.37,5377277406.72,3959379487.61,4347956298.51,4597615562.67,4715978868.22,4867582620.21,5343274311.57,5643893347.01,5734676560.92,5981244886.92,6715220507.05,7396966657.47,7925673448.41,8497545598.08,8285075872.27,8397912509.10,8141537937.61,7905485076.71,8082364868.39,8773451738.91,9549077869.11,11451869164.71,13120183156.71,16674324634.24,17339992165.24,19649631308.16,23963033443.85,27084497539.80,30659338929.09,32996187988.42,33000198263.39,33941126193.92,37508642112.88
Brazil,BRA,15165569912.52,15236854859.47,19926293839.02,23021477292.21,21211892259.99,21790035117.19,27062716577.91,30591834053.97,33875881876.37,37458898243.86,42327600098.24,49204456700.45,58539008786.37,79279057730.83,105136007528.76,123709376567.89,152678020452.83,176171284311.76,200800891870.16,224969488835.18,235024598983.26,263561088977.13,281682304161.04,203304515490.80,209023912696.84,222942790435.30,268137224729.72,294084112392.66,330397381998.49,425595310000.00,461951782000.00,602860000000.00,400599250000.00,437798577639.75,558111997497.26,769305386182.85,850426432991.74,883199625324.68,863723411632.92,599388579985.67,655420645476.91,559372276081.97,507962487700.02,558319920831.98,669316654017.09,891630175813.34,1107640297889.95,1397084345950.39,1695824571927.15,1667019780934.28,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1793989048409.29,2055505502224.73
Barbados,BRB,,,,,,,,,,,,,,,441595558.61,475761121.23,515665506.10,585680637.09,654039198.24,793011830.76,1017805364.63,1120203465.75,1170432057.57,1242716529.87,1354407508.63,1417575550.33,1556321742.48,1713771321.28,1822815594.38,2015731028.99,2023318251.88,2007109829.46,1950900000.00,2046189031.97,2151295182.22,2261969870.23,2411872918.01,2549296474.92,2874459304.93,3012081738.18,3121500000.00,3116650000.00,3169600000.00,3274850000.00,3514350000.00,3897300000.00,4246600000.00,4523750000.00,4607300000.00,4434050000.00,4461650000.00,4660900000.00,4656350000.00,4612500000.00,4608350000.00,4584150000.00,4529050000.00,4796845980.82
Brunei Darussalam,BRN,,,,,,114040245.66,132758395.40,139030445.58,160819286.55,161211289.69,179080099.31,197523179.24,270818555.82,433092003.58,1073577085.64,1168304305.66,1423061356.65,1732721160.94,1941600703.61,2803780005.52,4928824957.97,4366213849.58,4264252336.45,3844723142.45,3782523088.46,3523612563.07,2358592817.12,2754463437.80,2690717551.18,2985467979.29,3520551724.14,3701667052.56,4183548189.07,4105706151.75,4087337959.93,4734020036.69,5115602836.88,5197332974.14,4051147227.53,4600000000.00,6001153306.26,5601090584.36,5843329107.56,6557333084.61,7872333215.00,9531402847.87,11470703002.08,12247694247.23,14393099068.59,10732366286.26,13707370737.07,18525319977.74,19048495518.57,18093829923.27,17098342541.44,12930394937.81,11400653959.84,12128089001.59
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,135653295.17,146391639.72,148934334.04,165585940.59,169264991.20,172217502.02,201375725.61,253182453.70,283855833.33,275949889.09,299787275.84,250045839.93,250794359.57,235239570.35,270801565.19,303053462.84,316420860.85,365964500.14,376955087.25,419035810.50,439158233.20,476360697.18,537050133.72,622026107.77,702682018.98,818869145.12,897731524.93,1196091805.02,1258332337.28,1264758197.97,1585472534.11,1820207625.80,1823692109.62,1798333725.84,1944782820.89,2059258652.95,2212638830.39,2511852941.18
Botswana,BWA,30412308.99,32902336.64,35643207.63,38091150.57,41613969.05,45790869.75,51464435.15,58646443.51,66248256.62,77356914.08,96245114.46,126957494.41,165258093.88,244129088.03,306033848.42,355172413.79,372010119.60,451603325.42,590376720.60,819877300.61,1060923829.13,1073861599.14,1014907254.54,1172258182.15,1240796364.76,1114764007.15,1392634771.97,1965274882.36,2644536804.11,3083800684.90,3790567051.87,3942792837.36,4146513722.33,4160086253.15,4259330999.03,4730611067.02,4847752842.79,5020214747.45,4790458837.17,5484257417.18,5788329609.16,5489608299.66,5438857106.74,7511582173.38,8957467706.54,9931134940.51,10126940513.31,10939053365.48,10945070441.93,10267133177.73,12786654365.87,15682926895.97,14686278707.46,14915780538.67,16250774266.67,14420551446.46,15648700274.48,17406530780.72
Central African Republic,CAF,112155598.95,123134584.47,124482748.94,129379097.89,142025069.46,150574816.30,157930041.88,163820538.87,191767436.96,188039191.32,189106554.52,201450768.37,230317908.04,271183061.36,281398668.16,378660016.27,451152449.98,507298120.68,610578523.76,700764892.70,797048028.77,694803502.72,748312283.73,658679394.91,637820620.67,864849765.06,1122265026.38,1200991825.95,1264899368.20,1233930277.05,1440711395.67,1377375030.53,1411917558.46,1278781166.72,851174350.65,1115389731.79,1007791186.20,937741468.03,967338348.66,999477510.69,914500299.10,931833302.75,991387870.12,1139754799.16,1270080250.65,1337362392.15,1460561215.44,1697565948.65,1985240986.19,1981732633.92,1986015906.25,2195599556.74,2169706564.06,1518565298.36,1702899386.14,1583776805.97,1755468136.87,1949411659.20
Canada,CAN,41093453544.91,40767969453.70,41978852041.44,44657169109.22,48882938810.22,53909570342.17,60358632035.15,64768831262.18,70759031841.72,77887510241.71,87896095224.42,99271961477.52,113082820992.02,131321859214.08,160408697648.26,173834029787.65,206575564401.62,211612156934.65,218632867449.81,243072102185.42,273853826377.01,306214863624.99,313506525087.14,340547711781.89,355372558103.62,364756499450.75,377437927311.98,431316742081.45,507354351182.25,565055743243.24,593929550908.47,610328183643.19,592387689252.92,577170761956.44,578139279437.61,604031623433.40,628546387972.13,652825364726.28,631813279406.81,676082654640.91,742293448252.64,736379777892.56,757950678646.53,892380986367.85,1023196003074.56,1169357979864.66,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613464422811.13,1788647906047.76,1824288757447.57,1842628005830.18,1799268695861.80,1559623393038.66,1535767736946.18,1653042795255.04
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256391119869.73,242844938128.09,260069791613.87,274192522357.49,311016433450.63,386483907816.17,412962206488.87,409177909939.01,447675040690.54,434158675543.01,427831355696.26,468374571700.50,527431862889.73,634787658548.01,762873141595.66,886290450379.89,1002435558361.94,1265875311783.39,1529583538570.50,1286223012130.48,1312703359581.13,1446066158638.56,1351505878828.80,1422649884075.10,1463900229119.28,1286222588314.92,1313066988021.63,1450746635299.76
Switzerland,CHE,9522746719.22,10712712465.05,11879982758.56,13063643795.79,14480556571.55,15346741669.76,16480058704.85,17740013179.26,18942729779.10,20524886616.48,,,,,,,,,,,119008334606.43,108993981315.55,111711490075.36,111314328474.11,106285277141.76,107766112124.05,154482372838.96,193466104144.31,209298156700.61,202078703955.01,258066552980.13,261113787377.96,271814366804.15,264353008121.28,292646657673.47,342617007103.59,330091688349.52,286519135326.95,295045152020.97,289912492344.56,272055499940.79,278631271391.33,301416810214.30,352914820747.01,394163688620.83,408689353999.36,430921192375.18,479913034321.89,554363487120.30,541506500413.57,583782977866.41,699579638638.23,668043614122.87,688504173431.45,709182559935.30,679289166858.24,668745279604.53,678887336848.25
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677376.61,6262740656.85,6439703434.71,6232906290.49,6663669064.75,7332244897.96,8553643354.08,8827272727.27,9676172953.08,11514605842.34,,,,,,,,,,
Chile,CHL,4110000000.00,4609727272.73,5416272727.27,5668187500.00,5982347826.09,6026593750.00,7072641025.64,7013196078.43,7167086956.52,8377093023.26,9126309734.51,10884114754.10,11853817307.69,16836261173.18,16210404183.54,7622217352.34,10341925249.04,13962893421.54,15989933708.15,21803696985.23,29036709871.79,34509878043.59,25325893205.66,20355959237.21,19622527479.69,17702885393.51,18891048818.74,22255407684.70,26040229793.07,29885685142.91,33113887817.97,37834793730.31,45964327558.88,49297773130.12,57008425295.83,73447063319.30,78039572221.60,84952360922.47,81577430181.41,75173794497.03,77860932151.85,70979923960.37,69736811435.10,75643459839.60,99210392857.61,122964812046.07,154788024805.81,173605968179.26,179638496278.57,172389498444.62,218537551220.07,252251992029.44,267122320056.70,278384332694.36,260584090570.99,243999477737.94,250036180921.05,277075944401.94
China,CHN,59716467625.31,50056868957.67,47209359005.61,50706799902.51,59708343488.50,70436266146.72,76720285969.62,72881631326.67,70846535055.65,79705906247.46,92602973434.07,99800958648.14,113687586299.05,138544284708.96,144182133387.72,163431551779.76,153940455341.51,174938098826.57,149540752829.27,178280594413.04,191149211575.00,195866382432.54,205089699858.78,230686747153.26,259946510957.14,309488028132.65,300758100107.25,272972974764.57,312353631207.82,347768051311.74,360857912565.97,383373318083.62,426915712711.15,444731282436.76,564324670005.92,734547898220.51,863746717503.79,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.30,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3552182311652.97,4598206091384.00,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.90,11064666282625.50,11190992550229.50,12237700479375.00
Cote d'Ivoire,CIV,546203561.57,618245639.22,645284344.68,761047045.83,921063266.45,919771356.43,1024103034.29,1082922892.15,1281281245.67,1361360157.27,1455482990.24,1584128262.09,1849400599.78,2508421234.86,3070151901.06,3893839190.27,4662053707.78,6265067857.87,7900524897.86,9142935857.95,10175615441.81,8432588483.85,7567109766.61,6838185418.54,6841638714.55,6977650069.34,9158302205.36,10087653189.33,10255170459.99,9757410614.08,10795850106.95,10492628915.49,11152971316.07,11045759468.94,8313557450.25,11000146839.50,12139234938.79,11722142706.13,12612033728.86,12376639822.93,10717022462.69,11192560827.30,12346919216.14,15306602560.25,16554441846.52,17084928927.46,17800887796.50,20343635319.62,24224903099.63,24277493862.06,24884505034.56,25381616734.07,27040562587.18,31273049200.24,35372603446.26,33145096414.07,36374849865.05,40388624117.11
