"","age","c_charge_degree","race","age_cat","v_score_text","sex","priors_count","days_b_screening_arrest","v_decile_score","is_recid","two_year_recid","c_jail_in","c_jail_out"
"35",45,"F","Hispanic","Greater than 45","Low","Male",6,-1,1,1,1,"2013-01-12 05:43:00","2013-09-11 04:51:56"
"36",22,"F","Hispanic","Less than 25","Medium","Male",1,-1,6,0,0,"2013-05-24 06:06:17","2013-05-25 07:28:17"
"37",39,"M","African-American","25 - 45","Low","Male",1,-1,2,0,0,"2013-03-06 11:23:53","2013-03-11 09:00:57"
"38",40,"F","African-American","25 - 45","Low","Male",2,-15,1,0,0,"2013-07-02 03:42:01","2013-07-05 08:13:10"
"39",22,"F","Caucasian","Less than 25","Medium","Male",0,-1,6,0,0,"2013-02-18 12:24:07","2013-04-17 10:32:09"
"40",26,"F","African-American","25 - 45","Low","Female",1,-1,3,1,1,"2013-11-07 09:01:45","2013-11-09 09:07:50"
"41",32,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0,"2013-03-03 03:33:48","2013-03-04 07:08:59"
"42",41,"M","African-American","25 - 45","Low","Male",1,-1,2,0,0,"2013-02-27 09:49:07","2013-03-01 01:59:16"
"43",30,"M","African-American","25 - 45","High","Male",8,-1,9,1,1,"2013-02-20 02:14:37","2013-02-21 07:47:06"
"44",25,"F","African-American","25 - 45","High","Male",14,-1,10,1,1,"2013-04-19 02:20:32","2013-04-26 05:45:46"
"45",20,"F","Other","Less than 25","High","Male",0,-1,8,1,1,"2013-10-02 05:50:22","2013-10-03 08:15:24"
"46",35,"M","African-American","25 - 45","Low","Female",1,-1,1,0,0,"2013-03-29 06:55:39","2013-03-30 03:12:37"
"47",25,"F","Caucasian","25 - 45","High","Male",9,-1,9,1,1,"2014-12-12 07:27:40","2014-12-13 07:23:49"
"48",20,"F","Caucasian","Less than 25","High","Female",0,-1,8,0,0,"2013-11-13 11:21:14","2013-11-14 01:36:21"
"49",54,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0,"2013-04-15 01:07:24","2013-04-15 07:56:24"
"50",44,"M","Hispanic","25 - 45","Low","Female",0,-2,1,0,0,"2013-08-18 03:23:05","2013-08-19 06:27:00"
"51",19,"M","African-American","Less than 25","Medium","Male",1,-10,7,1,1,"2014-11-04 07:39:38","2014-11-13 10:02:51"
"52",30,"F","African-American","25 - 45","Low","Male",1,-1,2,0,0,"2013-09-08 09:39:18","2013-09-09 08:03:09"
"53",39,"F","Caucasian","25 - 45","Low","Female",0,-1,1,1,1,"2013-09-04 11:36:38","2013-09-06 04:07:01"
"54",30,"F","Caucasian","25 - 45","Low","Male",0,-1,2,0,0,"2013-08-28 11:22:24","2013-09-03 10:40:45"
"55",31,"M","Caucasian","25 - 45","Low","Male",0,-1,2,0,0,"2014-02-20 09:46:47","2014-03-31 09:04:43"
"56",39,"F","Caucasian","25 - 45","Low","Female",1,-1,3,0,0,"2013-02-25 07:42:47","2013-06-12 04:31:04"
"57",43,"F","Caucasian","25 - 45","Low","Male",1,-30,1,0,0,"2013-07-16 06:41:37","2013-07-17 07:35:00"
"58",34,"F","Caucasian","25 - 45","Medium","Male",0,0,5,0,0,"2013-02-15 10:54:22","2013-03-02 09:04:47"
"59",37,"F","African-American","25 - 45","Low","Male",3,0,1,0,0,"2013-11-18 03:46:24","2013-11-19 10:18:36"
"60",31,"M","African-American","25 - 45","High","Male",1,-1,8,0,0,"2013-10-13 03:47:49","2013-10-14 08:18:17"
"61",30,"F","Other","25 - 45","Low","Female",1,-1,2,0,0,"2013-10-28 07:07:32","2013-10-29 09:49:38"
"62",31,"F","Caucasian","25 - 45","Medium","Male",13,-1,7,1,1,"2013-02-25 06:43:30","2014-06-11 12:57:06"
"63",52,"M","Caucasian","Greater than 45","Medium","Male",3,-2,6,0,0,"2013-07-27 10:50:36","2013-07-28 02:01:45"
"64",42,"F","Caucasian","25 - 45","Low","Male",6,-4,1,0,0,"2013-09-13 12:01:41","2013-09-13 09:01:37"
"65",25,"F","Caucasian","25 - 45","Medium","Female",2,-1,5,0,0,"2013-12-22 01:36:59","2013-12-25 02:33:32"
"66",30,"M","Caucasian","25 - 45","Low","Male",1,-20,2,0,0,"2013-10-30 06:36:57","2013-11-03 02:08:43"
"67",37,"M","Other","25 - 45","Low","Female",2,-1,1,0,0,"2013-12-29 10:42:45","2013-12-31 04:10:00"
"68",24,"M","African-American","Less than 25","Low","Female",0,-1,3,0,0,"2014-02-06 01:25:28","2014-02-08 12:00:39"
"69",31,"M","African-American","25 - 45","Low","Male",1,-1,3,1,0,"2013-01-16 05:37:32","2013-01-17 07:15:11"
"70",20,"F","African-American","Less than 25","High","Female",1,0,10,0,0,"2013-11-20 09:36:33","2013-11-23 04:06:00"
"71",43,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,0,"2013-05-14 04:01:02","2013-05-15 03:11:16"
"72",32,"F","African-American","25 - 45","Medium","Male",11,-2,5,1,1,"2014-12-17 02:03:04","2014-12-18 08:41:05"
"73",33,"M","African-American","25 - 45","Low","Male",8,-1,2,1,1,"2013-12-25 07:37:38","2013-12-26 01:30:44"
"74",20,"F","African-American","Less than 25","High","Female",0,0,8,0,0,"2013-12-07 03:39:31","2013-12-07 07:28:49"
"75",26,"M","Caucasian","25 - 45","Low","Female",0,-2,3,0,0,"2014-01-25 04:45:14","2014-01-26 02:13:40"
"76",63,"F","Hispanic","Greater than 45","Low","Male",1,-26,1,0,0,"2014-01-10 09:45:32","2014-01-25 05:08:15"
"77",32,"F","African-American","25 - 45","High","Female",4,-7,9,1,1,"2014-04-16 09:55:10","2014-04-23 05:27:00"
"78",29,"F","Hispanic","25 - 45","Low","Male",1,-1,4,0,0,"2013-09-05 06:24:46","2013-09-06 03:39:35"
"79",39,"M","Caucasian","25 - 45","Low","Male",1,-1,4,0,0,"2014-02-10 10:59:01","2014-02-14 09:09:06"
"80",30,"F","African-American","25 - 45","High","Male",1,0,8,0,0,"2013-03-02 01:19:52","2013-05-11 04:23:17"
"81",48,"M","Caucasian","Greater than 45","Low","Male",2,-1,1,0,0,"2013-09-25 12:51:27","2013-09-26 08:42:11"
"82",22,"F","African-American","Less than 25","Low","Male",1,-1,4,0,0,"2013-05-15 12:16:21","2013-05-16 09:03:09"
"83",31,"F","Caucasian","25 - 45","Low","Male",0,0,4,0,0,"2013-04-20 02:52:11","2013-04-22 09:19:35"
"84",23,"F","Hispanic","Less than 25","Medium","Male",0,-1,5,0,0,"2013-09-08 01:03:31","2013-09-08 02:03:07"
"85",32,"F","African-American","25 - 45","Low","Female",5,-1,3,0,0,"2013-02-17 07:51:04","2013-02-18 10:17:02"
"86",52,"M","Hispanic","Greater than 45","Low","Male",2,-1,1,0,0,"2013-03-04 10:07:00","2013-03-07 11:56:36"
"87",62,"F","African-American","Greater than 45","Low","Male",8,0,1,0,0,"2013-02-05 12:23:14","2013-02-21 04:06:55"
"88",28,"M","African-American","25 - 45","Medium","Male",6,-1,6,1,1,"2013-03-17 09:01:58","2013-03-18 01:40:10"
"89",54,"F","Hispanic","Greater than 45","Low","Male",2,-1,1,0,0,"2013-08-28 02:23:37","2014-03-04 11:31:17"
"90",58,"F","Hispanic","Greater than 45","Low","Male",0,-1,1,0,0,"2013-03-13 10:02:13","2013-03-14 02:21:27"
"91",56,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2014-03-02 03:51:04","2014-03-03 07:47:20"
"92",24,"F","Other","Less than 25","Low","Male",0,-1,4,0,0,"2014-01-13 09:13:09","2014-01-15 08:37:12"
"93",57,"F","Hispanic","Greater than 45","Low","Male",1,0,1,0,0,"2013-10-25 09:20:19","2013-11-14 02:05:31"
"94",66,"F","African-American","Greater than 45","Low","Male",3,-10,1,1,0,"2013-06-01 11:04:44","2013-06-03 11:25:14"
"95",37,"M","African-American","25 - 45","High","Male",2,0,8,1,1,"2013-12-24 03:40:12","2013-12-24 08:53:51"
"96",45,"F","Caucasian","Greater than 45","Low","Male",2,-1,4,0,0,"2013-01-31 04:11:55","2014-01-25 03:27:03"
"97",23,"F","African-American","Less than 25","Low","Male",0,-1,4,1,1,"2014-04-25 10:29:59","2014-04-26 09:57:20"
"98",34,"M","African-American","25 - 45","Low","Male",2,0,1,1,0,"2014-01-31 12:35:27","2014-02-26 05:50:20"
"99",23,"M","African-American","Less than 25","Low","Female",1,-1,4,0,0,"2013-08-20 11:57:06","2013-08-21 07:50:16"
"100",50,"F","Caucasian","Greater than 45","Low","Male",1,-4,1,0,0,"2013-09-12 09:32:07","2013-09-14 03:06:18"
"101",37,"M","Caucasian","25 - 45","Low","Female",0,-1,1,0,0,"2013-11-07 02:53:47","2013-11-07 09:00:57"
"102",44,"M","Caucasian","25 - 45","Low","Male",4,0,4,0,0,"2013-01-06 04:51:37","2013-01-07 10:41:46"
"103",27,"M","African-American","25 - 45","Low","Male",0,-1,3,0,0,"2013-03-25 12:25:41","2013-03-28 05:58:56"
"104",28,"F","African-American","25 - 45","Medium","Female",0,0,6,0,0,"2013-10-29 04:01:57","2013-11-27 06:51:07"
"105",38,"F","African-American","25 - 45","Low","Male",2,-1,1,0,0,"2013-03-19 04:21:06","2013-03-20 09:34:48"
"106",28,"F","African-American","25 - 45","Medium","Female",1,-1,7,0,0,"2013-01-01 06:27:15","2013-02-09 02:24:08"
"107",38,"F","African-American","25 - 45","Low","Male",15,-1,3,0,0,"2013-02-18 09:26:05","2013-02-20 03:43:56"
"108",28,"M","African-American","25 - 45","Low","Male",2,-1,4,0,0,"2013-10-30 07:57:19","2013-10-31 01:45:23"
"109",51,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,1,1,"2014-01-12 08:37:58","2014-01-13 02:00:36"
"110",51,"M","Caucasian","Greater than 45","Low","Male",0,-1,2,0,0,"2013-10-30 11:27:14","2013-10-31 08:46:16"
"111",48,"F","African-American","Greater than 45","Low","Male",0,-1,1,0,0,"2013-01-12 06:40:25","2013-01-13 09:03:52"
"112",30,"F","African-American","25 - 45","Low","Female",2,-1,4,0,0,"2013-05-12 06:56:40","2013-05-15 02:06:25"
"113",41,"M","African-American","25 - 45","Low","Female",5,0,3,0,0,"2013-11-05 02:09:51","2013-11-05 07:57:55"
"114",37,"M","African-American","25 - 45","Low","Male",0,-1,1,1,0,"2013-02-16 07:22:50","2013-02-18 02:10:02"
"115",54,"F","African-American","Greater than 45","High","Male",11,-1,9,0,0,"2013-05-06 08:51:14","2013-09-13 05:58:39"
"116",23,"F","African-American","Less than 25","Medium","Male",2,-1,5,0,0,"2013-05-08 10:09:34","2013-07-19 06:36:57"
"117",41,"M","African-American","25 - 45","Low","Male",0,0,1,0,0,"2014-01-25 09:44:01","2014-01-26 06:31:19"
"118",52,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-05-15 11:15:03","2013-05-16 08:50:44"
"119",52,"F","African-American","Greater than 45","Low","Male",0,-1,3,0,0,"2014-02-03 03:50:35","2014-02-17 02:20:23"
"120",28,"F","Caucasian","25 - 45","Low","Male",1,-3,2,0,0,"2013-05-14 04:20:05","2013-05-17 10:53:34"
"121",30,"M","African-American","25 - 45","Low","Male",11,-1,4,1,1,"2014-08-05 03:19:41","2014-08-06 08:40:28"
"122",28,"F","Caucasian","25 - 45","Low","Male",1,0,3,0,0,"2013-09-27 04:35:20","2013-10-03 08:39:37"
"123",22,"F","African-American","Less than 25","Medium","Male",0,-1,6,0,0,"2013-02-21 03:42:13","2013-02-22 01:52:11"
"124",30,"F","African-American","25 - 45","Low","Male",4,0,2,0,0,"2013-03-05 04:44:39","2013-03-05 01:41:22"
"125",25,"F","Hispanic","25 - 45","Low","Male",4,0,4,0,0,"2013-11-03 02:47:28","2013-11-04 07:59:32"
"126",32,"F","African-American","25 - 45","High","Male",14,-1,8,0,0,"2013-12-16 05:05:35","2013-12-17 08:47:25"
"127",53,"M","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0,"2013-01-15 05:53:17","2013-01-16 07:01:06"
"128",25,"F","African-American","25 - 45","Low","Male",0,0,4,0,0,"2013-09-06 01:00:30","2013-09-06 09:12:00"
"129",37,"M","Other","25 - 45","Low","Female",0,-1,1,0,0,"2013-12-08 01:55:28","2013-12-09 02:00:59"
"130",40,"F","Other","25 - 45","Low","Female",3,-1,1,0,0,"2013-10-22 09:03:15","2013-10-23 09:05:27"
"131",31,"M","Hispanic","25 - 45","Low","Female",0,-1,2,0,0,"2013-03-08 09:57:50","2013-03-09 07:56:27"
"132",24,"M","Hispanic","Less than 25","Medium","Male",0,-3,7,0,0,"2013-02-01 09:51:10","2013-02-02 01:42:28"
"133",29,"M","African-American","25 - 45","Low","Male",1,-1,3,0,0,"2014-03-31 02:14:12","2014-04-01 01:22:49"
"134",20,"F","African-American","Less than 25","Medium","Male",1,-1,7,1,1,"2013-11-17 04:24:59","2013-11-18 07:25:07"
"135",39,"F","Other","25 - 45","Low","Male",0,-1,1,0,0,"2013-03-11 10:17:29","2013-03-12 07:59:36"
"136",27,"F","African-American","25 - 45","Low","Male",4,-1,4,0,0,"2013-08-06 09:00:30","2013-08-07 08:23:22"
"137",37,"F","African-American","25 - 45","Low","Female",2,0,1,0,0,"2013-12-03 12:48:34","2013-12-04 07:43:54"
"138",20,"F","African-American","Less than 25","Medium","Male",0,-1,6,0,0,"2014-02-18 09:37:20","2014-02-21 04:07:45"
"139",22,"F","Hispanic","Less than 25","Medium","Male",0,0,6,0,0,"2013-04-20 02:16:15","2013-04-22 03:48:37"
"140",52,"F","African-American","Greater than 45","Low","Female",0,-1,1,0,0,"2013-08-01 10:03:28","2013-08-02 02:00:46"
"141",48,"F","African-American","Greater than 45","Low","Female",0,-1,3,0,0,"2013-11-12 10:24:10","2013-11-14 06:47:41"
"142",25,"F","Caucasian","25 - 45","Low","Male",0,0,4,0,0,"2013-04-20 02:39:55","2013-04-20 07:15:12"
"143",27,"F","Caucasian","25 - 45","Medium","Male",0,-1,7,1,1,"2013-04-07 11:02:06","2013-04-09 04:14:39"
"144",22,"F","Caucasian","Less than 25","Low","Female",1,-1,4,0,0,"2013-12-30 10:48:07","2013-12-31 09:49:50"
"145",41,"M","African-American","25 - 45","Low","Female",2,-1,1,0,0,"2013-08-04 07:42:27","2013-08-05 06:31:46"
"146",25,"F","Other","25 - 45","Low","Female",0,-1,3,0,0,"2014-01-28 10:39:22","2014-01-29 08:33:42"
"147",43,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0,"2013-04-04 07:55:57","2013-05-15 08:09:02"
"148",37,"F","Caucasian","25 - 45","Low","Male",3,-4,1,0,0,"2014-03-01 11:39:37","2014-03-04 09:02:34"
"149",70,"M","Caucasian","Greater than 45","Low","Male",1,-13,1,0,0,"2013-04-05 11:19:07","2013-04-18 10:45:47"
"150",46,"F","Caucasian","Greater than 45","Low","Male",3,-1,2,0,0,"2013-04-30 04:31:44","2013-05-14 09:41:21"
"151",26,"M","African-American","25 - 45","Medium","Male",1,-1,6,1,1,"2014-07-14 06:15:12","2014-07-16 02:43:22"
"152",34,"M","Caucasian","25 - 45","Low","Male",5,-1,4,0,0,"2014-01-19 03:20:12","2014-01-20 07:58:57"
"153",34,"M","African-American","25 - 45","Low","Male",5,-1,4,0,0,"2013-12-03 09:45:00","2013-12-04 08:51:32"
"154",24,"F","Other","Less than 25","Medium","Male",0,-1,5,0,0,"2013-04-08 08:55:48","2013-04-09 10:21:22"
"155",58,"F","Caucasian","Greater than 45","Low","Male",2,-1,1,0,0,"2013-02-22 07:47:53","2013-02-24 02:27:52"
"156",21,"M","African-American","Less than 25","Medium","Female",0,0,7,0,0,"2013-01-01 04:17:22","2013-01-02 01:14:43"
"157",62,"F","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-01-05 04:35:31","2013-01-07 03:18:03"
"158",37,"F","Caucasian","25 - 45","Low","Male",5,-1,1,0,0,"2013-12-01 04:23:01","2013-12-12 03:25:01"
"159",32,"F","African-American","25 - 45","Low","Female",5,0,1,0,0,"2013-12-01 12:02:58","2013-12-01 09:53:20"
"160",23,"F","Hispanic","Less than 25","Medium","Male",0,-1,5,0,0,"2013-12-30 11:58:41","2014-02-14 10:05:11"
"161",27,"M","African-American","25 - 45","Low","Male",0,0,2,0,0,"2013-04-08 12:40:45","2013-04-09 07:53:30"
"162",42,"F","Caucasian","25 - 45","Low","Female",0,-3,1,0,0,"2013-05-25 04:27:15","2013-05-26 07:10:19"
"163",24,"F","Other","Less than 25","High","Male",9,-1,10,1,1,"2013-03-15 12:03:21","2013-03-20 02:58:22"
"164",27,"F","African-American","25 - 45","Low","Male",0,0,3,0,0,"2014-01-14 03:37:34","2014-01-31 09:03:48"
"165",51,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0,"2014-03-22 02:29:28","2014-03-23 09:07:31"
"166",56,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-12-11 03:02:20","2013-12-12 08:42:00"
"167",29,"F","African-American","25 - 45","Medium","Male",7,-1,6,0,0,"2013-04-24 05:02:29","2013-04-25 09:15:28"
"168",27,"F","Caucasian","25 - 45","Low","Male",8,-1,3,0,0,"2013-02-21 07:20:51","2013-04-30 10:43:29"
"169",24,"F","African-American","Less than 25","High","Male",2,-1,9,1,1,"2013-03-25 02:04:33","2013-04-13 05:00:10"
"170",28,"M","Caucasian","25 - 45","Low","Male",2,0,4,1,1,"2013-10-04 01:55:36","2013-10-05 07:07:26"
"171",21,"F","Hispanic","Less than 25","Medium","Male",3,-22,6,1,0,"2013-07-11 04:30:33","2013-08-02 06:07:24"
"172",36,"F","African-American","25 - 45","Medium","Female",0,-1,5,0,0,"2013-05-05 08:31:15","2013-05-17 08:35:57"
"173",23,"M","Hispanic","Less than 25","Low","Female",1,0,4,1,0,"2013-04-04 01:13:56","2013-04-04 11:28:44"
"174",28,"F","Caucasian","25 - 45","Low","Male",1,-4,3,0,0,"2014-02-27 04:28:02","2014-02-28 08:49:55"
"175",36,"M","Caucasian","25 - 45","Low","Male",0,-1,3,0,0,"2013-12-22 08:25:20","2013-12-23 01:09:26"
"176",24,"F","African-American","Less than 25","Low","Male",0,-1,4,0,0,"2014-03-12 07:36:15","2014-03-13 01:26:58"
"177",29,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2014-03-01 02:42:35","2014-03-02 08:38:51"
"178",30,"M","Caucasian","25 - 45","Low","Female",0,0,2,0,0,"2013-03-22 12:02:23","2013-03-26 09:46:14"
"179",51,"M","Hispanic","Greater than 45","Low","Male",1,-1,1,0,0,"2013-12-26 04:15:54","2013-12-27 07:50:46"
"180",32,"F","African-American","25 - 45","Medium","Male",12,-1,7,1,1,"2013-02-15 12:13:14","2013-02-17 01:27:01"
"181",23,"F","African-American","Less than 25","Medium","Male",1,0,5,0,0,"2014-01-31 01:04:24","2014-02-01 03:16:14"
"182",47,"F","African-American","Greater than 45","Low","Male",3,0,2,0,0,"2013-03-25 03:26:29","2013-03-25 07:55:24"
"183",37,"F","Caucasian","25 - 45","Low","Male",0,-1,1,0,0,"2014-02-24 05:11:22","2014-03-15 05:53:52"
"184",27,"M","Hispanic","25 - 45","Medium","Male",0,-1,6,0,0,"2014-01-31 02:14:52","2014-02-02 04:25:26"
"185",39,"M","Other","25 - 45","Low","Male",0,-1,1,0,0,"2013-11-26 06:08:42","2013-11-27 02:09:15"
"186",21,"F","Caucasian","Less than 25","High","Female",0,0,8,0,0,"2013-02-21 05:16:18","2013-02-21 09:22:51"
"187",69,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-01-30 08:36:13","2013-01-31 07:20:04"
"188",21,"F","Caucasian","Less than 25","Medium","Male",2,-1,6,0,0,"2013-11-06 07:01:58","2013-11-08 09:11:46"
"189",22,"F","Caucasian","Less than 25","Medium","Male",0,-2,5,0,0,"2013-12-07 01:04:19","2013-12-07 02:19:36"
"190",49,"F","African-American","Greater than 45","Low","Male",3,0,4,0,0,"2013-10-15 12:10:18","2013-10-19 05:47:48"
"191",29,"M","African-American","25 - 45","Low","Male",2,-1,3,1,0,"2013-01-29 11:52:49","2013-03-21 07:00:48"
"192",60,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,0,0,"2013-10-13 05:34:29","2013-10-14 02:36:01"
"193",20,"F","Other","Less than 25","Medium","Female",1,-21,7,0,0,"2013-02-19 08:48:32","2013-02-22 07:41:48"
"194",36,"F","Hispanic","25 - 45","Low","Male",1,0,2,0,0,"2013-04-22 02:33:46","2013-07-26 05:05:36"
"195",30,"F","Caucasian","25 - 45","Low","Male",0,0,3,0,0,"2013-05-04 12:45:31","2013-05-06 08:53:01"
"196",21,"F","African-American","Less than 25","Medium","Male",1,-1,6,1,0,"2013-06-16 12:36:42","2013-06-16 07:01:42"
"197",34,"M","Caucasian","25 - 45","Low","Male",1,0,1,0,0,"2014-02-04 03:26:12","2014-02-04 08:29:18"
"198",53,"M","Caucasian","Greater than 45","Low","Female",1,-1,1,0,0,"2013-12-21 05:26:48","2013-12-22 01:41:48"
"199",24,"F","African-American","Less than 25","Low","Female",0,-1,4,0,0,"2013-12-13 03:13:07","2013-12-14 07:19:53"
"200",42,"F","African-American","25 - 45","Low","Male",1,-12,1,0,0,"2013-05-31 04:44:14","2013-06-04 10:17:31"
"201",28,"M","African-American","25 - 45","Low","Male",1,-1,3,0,0,"2013-04-02 12:18:46","2013-04-04 07:54:22"
"202",22,"F","African-American","Less than 25","High","Male",4,-1,9,1,1,"2013-02-04 02:09:53","2013-10-22 06:51:11"
"203",21,"M","Caucasian","Less than 25","High","Male",3,-8,8,0,0,"2013-08-04 03:23:17","2013-08-10 01:02:53"
"204",35,"F","African-American","25 - 45","Medium","Male",2,-1,5,0,0,"2013-05-15 04:19:38","2013-05-20 09:26:57"
"205",53,"F","African-American","Greater than 45","Low","Male",2,-1,1,0,0,"2013-08-06 07:34:06","2013-08-07 01:05:18"
"206",29,"F","African-American","25 - 45","Low","Male",7,-1,3,1,0,"2013-08-15 04:47:18","2013-08-16 10:21:01"
"207",48,"F","Caucasian","Greater than 45","Medium","Male",23,-1,5,1,1,"2013-02-08 07:54:34","2014-02-04 06:26:47"
"208",52,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0,"2013-03-25 04:21:35","2013-03-25 08:42:53"
"209",28,"F","African-American","25 - 45","Medium","Male",5,0,6,1,0,"2013-02-13 02:14:41","2013-04-05 08:12:59"
"210",33,"M","Caucasian","25 - 45","Low","Male",3,0,1,0,0,"2013-12-22 01:14:52","2013-12-22 07:48:32"
"211",28,"F","Hispanic","25 - 45","Low","Female",0,-1,2,0,0,"2013-04-04 03:19:29","2013-04-06 12:28:11"
"212",29,"F","African-American","25 - 45","Medium","Male",2,-1,5,0,0,"2013-04-04 11:24:09","2013-04-06 08:01:53"
"213",25,"F","Caucasian","25 - 45","Low","Male",0,0,3,0,0,"2013-03-27 02:09:08","2013-03-27 06:55:04"
"214",56,"F","African-American","Greater than 45","Low","Male",5,-1,3,0,0,"2013-01-03 05:51:09","2013-01-15 07:43:49"
"215",27,"F","African-American","25 - 45","High","Male",9,-1,8,1,1,"2013-09-03 03:15:25","2013-10-25 06:07:27"
"216",32,"F","African-American","25 - 45","Low","Male",3,0,2,0,0,"2013-02-07 02:19:38","2013-02-08 05:35:52"
