Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,Description,Images,Breed,target
Dog,1.0,Male,Black,Unknown,Unknown,Medium,No,No,No,No,Healthy,0.0,"Please adopt this poor puppy! He is the only survivor during his mother's delivery. To help solving the problem of stray dogs, my family has done our part to adopt a female dog. However, our ability does not allow us to adopt another female dog. This ends up the puppy's mother to reproduce and give birth again. We will be very grateful if anyone of you are willing to adopt the little puppy and/or his mother!",0e6c32c9f-4.jpg,Mixed_Breed,True
Dog,8.0,Female,Gray,Unknown,Unknown,Medium,Yes,Yes,Yes,Yes,Healthy,0.0,"Remember my friend – ADOPT, DON’T BUY! Keep in mind that a pet is a LIFETIME commitment. 杜绝繁殖，领养，不购买! 谨记，宠物是一辈子的责任，领养不弃养。 - - - - - - - - - - - - - - - - - - - - This cute Doggie is a homeless dog at Puchong, Selangor and taken care of by a kind rescuer. Please direct contact the rescuer at the number below if you're able to give her a home. Please give her a chance tq. Madge Yong 杨韵姗 可爱的浪浪狗狗在蒲種, 雪兰莪被爱心姐姐照顾着，可以给他一个好家的朋友，请直接联系以上号码，给他一个机会，感恩 - - - - - - - - - - - - - - - - - - - - Interested to adopt? Kindly read our requirements: - Strictly NO tying/caging for long period - Agree to bring her for yearly vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat her like your own precious family members 想领养的朋友请确保能履行基本的主人责任: - 不能长时间关 / 绑狗狗，他们需要基本的自由 - 必须同意为他注射例行预防针 - 提供营养均衡的饮食和干净食水 - 同意义工们上门探访 - 把他视为家人，好好的用爱对待他 Please give her a home.",f41a7de83-1.jpg,Mixed_Breed,False
Cat,1.0,Female,Black,Unknown,Unknown,Medium,Yes,No,No,No,Healthy,0.0,"Pippo's mama is a stray cat in our neighborhood that we feed everyday since 2-3 years ago. We managed to catch the whole family 1 week after the mama gave birth to 4 cuties. Now I'm fostering all of them. I'm going to spay the mama once the babies wean off. Now they already 6 weeks and ready to go to their new family in one or two weeks time. Pippo is the only one who does not have adopter yet. Please text me at if you are interested. Kuantan area. Serious adopter only. Note: Adopter will have to sign an adoption agreement by Kuantan Animal Rescue & Education (KARE) and agree to 1) keep the kitten as an indoor pet and only feed them premium food. 2) give the kitten medical care, vaccination, food, shelter and also love. 3) spay the kitten once she is old enough or deemed suitable to undergo the procedure.",f235e6a5a-1.jpg,Domestic_Short_Hair,True
Cat,1.0,Male,Black,White,Unknown,Medium,Yes,No,Yes,No,Healthy,0.0,"Introducing handsome little Haru! ♥ Male kitten, 5 weeks old, tuxedo/""domino"" colored boy with hazel green eyes. ♥ Active & frisky boy, LOVES to play & run about! Gentle around people and an absolute attention seeker. ♥ Knows how to talk (meow) back when spoken to! :) ♥ Has been de-wormed (once) and given flea medication. Haru is still too young to be vaccinated. ♥ Currently on Feline Caviar kibbles (dry). Already clever with the litter-box. ***PLEASE READ***: - New family home must be landed (no apartments). - Haru must be kept INDOORS at all times. - Adopters MUST neuter him at the right age. - Haru must be fed premium food (no Whiskas, Friskies kibbles etc). - Adopters must have a steady vet clinic in case of emergencies. Please drop me an email or call if you feel that you may be just the right person for Haru. Thank you!",9a64e72cf-3.jpg,Domestic_Short_Hair,True
Cat,4.0,Female,Golden,White,Unknown,Small,Yes,No,Yes,No,Healthy,0.0,She is very active and loves playing. I'm currently having some personal problems and i can't afford to have her so i'm giving her out for adoption. She needs a loving home.,ac71e856b-2.jpg,Domestic_Short_Hair,False
Dog,3.0,Female,Brown,Unknown,Unknown,Medium,No,Yes,Yes,No,Healthy,0.0,"Sochi is a smiley, beautiful 3 month old puppy girl from a mixed retriever mother, she has been dewormed and taken her 1st vaccination, I adopted a female puppy from the same mother dog some yrs back, named brownie, he has lovely temperament, looking at Sochi, I believe she will be a wonderful companion in the family. Do think twice before digging out huge amount of money to buy a kid, think of those homeless ones like Sochi :) she is ready to give/contribute her best to the family. Interested adopter pls contact Brandee at Conditions for adoption, 1) no adoption fees needed however adopter must agree on spaying Sochi at her 6th month old. 2) allow indoor, no necessary caging, no long hours on leash. 3) allow home visit at least once every month until Sochi is comfortable in the new home with her new family members, then future visit will be planed once every few months. 4) keep rescuer update on Sochi's condition. 5) must provide basic medical treatment to Sochi when it's needed, as well as yearly vaccination.",7448f3165-8.jpg,Mixed_Breed,False
Dog,4.0,Female,Black,Brown,Unknown,Large,Yes,No,Yes,No,Healthy,0.0,"Madeleine was rescued by the kind people of Malaysian Dogs Deserve Better (MDDB) last week. She had been caught by municipal council dog catchers along with a large group of other dogs and puppies and was being held at the MPK (Majlis Perbandaran Klang) Dog Pound. Little Maddie is now staying with my during her rehabilitation. Her time at the pound was quite traumatizing and she had some insecurity issues and fear. She's a sweet, and friendly puppy now, eager to please and learn. She loves the company of people and her new friend Molly Sue. Maddie has been through some very rough times in her young life, i expect adopters to be patient and extra gentle with her. She needs to trust you and feel safe. Maddie doesn't like to be alone so it would be great if she could be adopted by someone with another friendly dog or someone that has time to spend at home. At the moment i am paper-training her because I am not home enough to expect her to be completely housebroken. I think Maddie may grow up to be quite a big dog so adopter should have space for her to run around in and time to take her for walks. vaccinations and spaying are compulsory for adoption. cost of these procedures to be borne by adopter. no caging, no tying up, no beating. adoption procedure for interested parties: - set up a meeting with me and maddie. - see if you and maddie get along. - i'll ask you some questions to make sure you are suitable for each other. - finally, meet up at my vet to pick up maddie and vaccinate her, then you can bring her home. interested parties can sms/call me at or Wani from MDDB at. You may also email me. serious inquiries only please. a brief introduction of yourself and a description of your experience with dogs is appreciated.",6d43edbe9-8.jpg,Mixed_Breed,False
Cat,5.0,Male,Brown,Cream,Unknown,Medium,No,No,No,No,Healthy,50.0,Babu mix Siamese male 5 month Very Healthy and Active very Manja dan love with human Diet : Blackwood & Wet Food Litter train indoor and outdoor (night at the cage) Pickup point Mentari Court Sunway adoption fee :RM SMS Affi adoption fee is for maintenance for other cat,163919bd1-2.jpg,Siamese,True
Dog,1.0,Male,Black,Brown,Unknown,Small,Yes,No,No,No,Healthy,0.0,"Sniffles is a cute, 3 week old puppy looking for someone who is kind enough to give him a proper home to live in. He loves to walk about and play around. He is very friendly and eats alot. Don't hesitate to contact me if you are interested. :)",ec9da833d-1.jpg,Siberian_Husky,True
Cat,9.0,Male,White,Unknown,Unknown,Medium,Yes,Yes,Yes,No,Healthy,0.0,"lovely personality, a loving cat, love to lick my face and very cute Eat only preium food : blackwood/Iams Indoor cat NO BREEDER ALLOWED",541904323-2.jpg,Siamese,True
Dog,1.0,Male,Black,Brown,Unknown,Medium,No,No,Yes,No,Healthy,0.0,Please give me a home,9c64232b3-2.jpg,German_Shepherd_Dog,False
Dog,1.0,Male,Brown,Cream,Unknown,Medium,No,Yes,Yes,No,Healthy,200.0,"Location : Selangor, Malaysia Name : B2 Names meaning : None, just a code. Gender : Male. Birth date : 24th May . Vaccination : Not yet as he is too young. Potty training : Training in process. Terms & conditions as follow :- • to sign an adoption form. • MUST be neuter when he is 6 months old. The adoption fee is a deposit for the neutering fees. Adopter can choose to send him back to us for neutering at 6 months old or prove to us that neutering is done by showing the incision part & the vet written proof and we will refund the balance after paying/deducting the neutering fee. • we will send to adopter's house. • allow us to visit once in a while. • vaccinations to be follow up. • medical needs to be given if needed in future. • no caging/on leash for long hours. • return to us/inform us if they were to be given to another. • updates via whatsapp/email/Facebook/Instagram/house visit from time to time. • to be fed on proper food with proper nutrition meant for dogs. • love them as a part of the family. Kindly contact us directly from Petfinder message or private message us at Facebook (Lohicr) or message/whatsapp us at the contact number provided if interested. You can also help us to find a forever loving home for this sweetheart by clicking the SHARE button and share it with your friends or family that are interested in adopting her. Much appreciated. --------------------------------------------- His story : 25th May As we returned home from work, as we pass through Puchong we saw a cage left outside the old veterinary clinic of St Angels Puchong. There it was a Cairn Terrier alike and her 6 puppies. Very highly possibly a dumping case from a backyard breeder. Her puppies looks like just a few days old. Trapped in a small rusty cat cage, matted hair, smelling horrible and poo all around the cage. If we leave them there, they will have no chance at all. So home they went with us. When we arrived home, it was further proven that she once had an owner, is trained and is used for breeding. She walks on leash like a trained dog and knows exactly what to do. Initially, she was a little fierce as she must have been in so much fear. After some time, she calmed down a little more. Marnie has got very badly matted hair all over her and very bad tick infestation. Showered and shaved off all her fur. Due to her being around her puppies we do not dare to use too strong of a tick shampoo on her, hence more on manually removing them slowly. She is around 6 years old, puppies are not more than 2 days old. Her legs appears to be very weak, doctor says she is being caged all the time type. So it's most probably used for breeding before this. B2 is one of Marnie's puppies. This is a result of irresponsible ownership, attitudes of just buying a pet, not neutering and then running away from responsibility. These are lives, not a bag you can just dump aside as you wish. Be responsible, be a human with a heart. Adopt, don't buy or shop. Neuter your pets.",fa87afa7d-1.jpg,Terrier,True
Cat,24.0,Female,Black,Gray,Unknown,Small,Yes,Yes,Yes,Yes,Healthy,0.0,"This cute little girl was found in Ipoh Greentown. She was skinny and love human. I brought her to spay at February and try to let her get some weight. Now she is ready to adopt! *Doctor said she is around 2 years old. *Luna have allergic on fish, she only can eat dried food or chicken. *She loves to play and touched. *She has short fur on body but long fur on the tail! Will you give her a warm and sweet home? Contact me please!",df25863ad-3.jpg,Tabby,False
Dog,24.0,Female,Brown,Unknown,Unknown,Small,Yes,Unknown,Unknown,Unknown,Healthy,0.0,"This is the third lost dog that we found in 3 weeks. My fosterer's male dog in Sunway ran out and brought this girlfriend home:) She is tiny but muscular. Friendly, obedient and loving. We want to find a good home for her. Toilet trained but need regular walks. Indoor dog, no caging or tying up please. Please call if interested.",6b446b436-7.jpg,Miniature_Pinscher,True
Dog,2.0,Female,Cream,White,Unknown,Medium,No,No,No,No,Healthy,0.0,For Adoption,4e8ae40c0-5.jpg,Mixed_Breed,True
Dog,2.0,Male,Brown,Unknown,Unknown,Small,Yes,No,No,No,Healthy,0.0,"On / i have rescued a small puppy approximately 2 months old male mongrel, a car was about to hit him when the puppy was trying to go across the road. Luckily for the puppy he managed to dodge the in coming car just in time. The puppy was so shaken and i decided to bring him home for temporary care, he was so hungry that he finish up all the food in just seconds and of course after the meal it was time to take a good and nice hot bath. I was unable to care for this puppy for long time as i'm staying at a apartment and i have a 9 months old female mongrel dog with me, which i rescue her 6 months ago when her owner decided to leave her alone by the road side. To my surprise my female dog seems to enjoy the male puppy company, well maybe they share the same fate as a mongrel and stray around by the roadside and so my female dog decided to treat the small male puppy nice. The puppy was a very active dog, he likes to follow me around where ever i go and when i keep him in a cage or when he does not see me around for a short period of time he whine and whine until he fall asleep. Anyway i sincerely hope that someone can adopt the male puppy and give him a nice warm home.. . anyone who is interested,sincere and serious to give the puppy a new home can contact me anytime, please find below my detail.thank you",48d1e6446-2.jpg,Mixed_Breed,True
Dog,1.0,Male,Brown,Unknown,Unknown,Small,No,No,No,Yes,Healthy,0.0,"I found a puppy at road side...so pity...i can't adopt him because stay flat...hope some1 can assist to adpot him,i will donate a bag of puppy food when some1 willing to adpot it,thanks",f9db446f8-2.jpg,Mixed_Breed,False
Dog,4.0,Female,Black,Brown,Cream,Small,No,No,No,No,Minor Injury,30.0,"My friend got this dog for free and thought he could take care of it. But it turn out not so well because as he was a student and living in an apartment, the dog has no space at home, the housemates are not happy with the dog around and my friend find it a financial burden to take care of the dog. Now the dog is currently homeless.She is such an amazing dog though. Very human like. Unfortunately, we need someone to take care of her and give her a better place and environment to live in.",faf4322a0-3.jpg,German_Shepherd_Dog,False
Dog,2.0,Female,Brown,White,Unknown,Medium,Yes,No,Yes,No,Healthy,0.0,"Blondie has one big, cute brown spot on her back :D Adorably smart and playful! She and her 3 other siblings are looking for their forever home. Free delivery within klang valley. Do whatsapp or sms me only.",d7282183b-1.jpg,Mixed_Breed,False
Dog,3.0,Female,Black,Brown,White,Large,No,Yes,Yes,No,Healthy,0.0,"Hana is a bubbly, active and adorable pup. She is intelligent and learns commands very quickly. Barks at strangers, loves to exercise and adores both human and canine companion. Adopter must vaccinate and spay her. No tying up or caging please.",ec040a1ef-9.jpg,Terrier,True
Cat,3.0,Female,Black,Golden,White,Medium,Yes,No,No,No,Healthy,0.0,AYu has been adopted by a very kind family Thanks Azmi & family!,c12ee8ef0-1.jpg,Domestic_Short_Hair,True
Cat,5.0,Male,Black,Unknown,Unknown,Medium,Yes,Yes,Yes,Yes,Healthy,0.0,"T’Challa is very affectionate and playful. He loves a tummy rub, and to chase some paper around the room. T’Chalka likes your attention and gets on well with other cats.",a5a4c2890-1.jpg,Domestic_Short_Hair,True
Cat,9.0,Female,Yellow,Unknown,Unknown,Medium,Yes,Unknown,Unknown,Unknown,Minor Injury,0.0,"the cat is a stray cat and i found it at my home's parking lot. one of it leg has a serious injury as it is crushed due to the accident. i had bought it to the vet and the leg had been amputated so, it live with three legs now. So, i hope that anyone could adopt this cat as she need care and good condition of shelter for it to fully recover. i cant keep it at my house because there's a regulation that pets are not allowed in my housing area",45af03266-1.jpg,Domestic_Short_Hair,False
Dog,6.0,Female,Golden,Unknown,Unknown,Small,Yes,Yes,Yes,No,Healthy,0.0,"a healthy ,clean , sweet little girl in Mantin . send me message if you can give her a nice home .",a39034cfc-2.jpg,Mixed_Breed,True
Cat,3.0,Female,Black,Brown,Cream,Large,Unknown,Yes,Yes,No,Healthy,50.0,"Kali is a super playful kitten who is on the go the minute she wakes up. She is very quiet and only meows very rarely. She likes to cuddle when she is sleepy and also when she wakes up from a nap. As long as she has her toys, she keeps herself active and busy during the day. Would recommend you spend at least half an hour every night to play with her as it is her normal routine now. Would recommend that you house her alone as a single cat or with another kitten. She has had her second vaccination and deworming and needs another one next month. Serious adopters only please. Looking for a good forever home for Kali. For more info/photos please whatsapp",8e76c8e39-2.jpg,Domestic_Long_Hair,True
Cat,2.0,Male,Golden,Cream,Unknown,Medium,Yes,Yes,Yes,No,Healthy,50.0,"Adorable domestic short hair kitten looking for new home. He is Jacquelyn's Teddy, a golden-orange kitten, about 2.5 month old now. He was rescued by Jacquelyn from Klang. He has short hair but his hair is not so thick. He has a short tail too. He has orange stripes on his back and legs like tiger. He was de-flea and de-wormed. He has his first vaccination done on 28th November . He is feeding on kibbles plus canned fish now. He is healthy, very active and playful. He is toilet (potty) trained & could be let go at anytime. *RM 50 adoption fee would be paid to Cat Charity Club (CCC) for rescuing stray cats. *Another RM neutering / spaying deposit would be fully refundable once the surgery done. Anyone interested, please call .",cbeb9fc1d-1.jpg,Domestic_Short_Hair,True
Cat,13.0,Female,Black,Golden,White,Medium,Unknown,Yes,Yes,No,Healthy,0.0,"Sangat manja.... Sesiapa nak, sila pm saya k... saya nak bg sbb saya ddk flat, dalam kem askar.. susah bela kucing banyak.. :(",fe3fe601e-1.jpg,Domestic_Long_Hair,True
Dog,4.0,Male,Brown,Unknown,Unknown,Large,No,Yes,Yes,No,Healthy,0.0,It's a midxed breed puppy (guessed mixed with Husky). It''s strong and healthy. It will be a good watchdog. Some requirements: 1. Preferably adopted by those without any other dogs at home as it has dominant character. 2. Must be a dog lover 3. Preferably bring the puppy for spaying 4. Commit to take care the dog for rest of his life. The puppy is currently at Tanjung Bungah.,37e47eeab-1.jpg,Mixed_Breed,True
Cat,3.0,Female,Black,Brown,Golden,Medium,Yes,No,Yes,No,Healthy,0.0,"Any sponsorhip / contribution to Pets + Strays' MITE medical costs, hospital fees, boarding fees, shelter fees welcomed. Alternately, feel free to whatsapp for : 1. Natural kitten,cat, puppy, dog food 2. Natural anti-flea 3. Natural anti-mite ---- Yoda was caught with help from neighbours on 14 Apr : 1. De-flead 2. Bathed with Medicated Shampoo for Mites 3. Jabs, anti-biotic treatment 4. To be vaccinated (check) 15 May 5. To be neutered 30 June * VERY quiet * Heart-wrenching look of HOPE & Surprise when you open DARK BOX she is INside Rescuer : Pets + Strays Like & regularly check Pets + Strays for : * Suggestions * Product & Services Review / Endorsements * LATEST Updates * FREE Samples / gifts - when available * Linkup further by leaving your contact details via whatsapp Futher re-hab & adopted via Shelter",86c7b7486-4.jpg,Domestic_Short_Hair,False
Dog,12.0,Female,Brown,Unknown,Unknown,Small,Yes,Yes,Yes,Yes,Healthy,0.0,"Rescued from the dog pound. Great survivor. Very perky, lovable and friendly.",6e09bfe1f-1.jpg,Mixed_Breed,False
Cat,1.0,Female,Black,Yellow,White,Small,No,No,Yes,No,Healthy,0.0,"Salam 1 Malaysia to all animal lover And cat lover out there.This the 3rd time that i rescue kitten.This kitten came to me infront of my college libary. Seem like she lost her mother.She a very cute kitten & very adorable. Please help me to adopt this kitten ..For serious adopter only..Contact me via FB JR  Call.. ""suatu hari nanti mereka akan mendoakan supaya kita bersama dengan mereka di syurga""Trust me since i became a animal lover a lot of good things happen.Thanks to God.",35a730b12-4.jpg,Domestic_Medium_Hair,True
Dog,12.0,Male,Yellow,Unknown,Unknown,Medium,Yes,Unknown,Yes,Unknown,Minor Injury,0.0,"I found the dog in a shallow ditch in the Melawati area close to Jalan E9. I got him out with the help of someone living in Jalan E9. The dog could not stand up, his legs were very weak, he was bleeding near his rear. I got people from our local Vet to come pick him up and they have given him medication and he has been in the clinic since Thursday 24th January . He is now well and fit and needs a home, or if he is lost needs to re-join his owners. He is a gentle and quiet dog, alittle scared at the moment due to whatever he must have encountered before I found him..IF ANYONE RECOGNISES HIM OR WOULD LIKE TO ADOPT HIM, PLEASE GET IN TOUCH WITH ME! He seems like a sweet dog, and needs comforting! I have no space for him, and besides already have 4 cats to manage. Thank you!",4a8caef08-1.jpg,Mixed_Breed,False
Dog,4.0,Female,Black,Brown,Unknown,Medium,No,Yes,Yes,No,Healthy,150.0,Very friendly and playful puppy...,1d6149d17-1.jpg,Mixed_Breed,False
Cat,4.0,Female,Yellow,White,Unknown,Medium,No,No,No,No,Healthy,100.0,"Dewi (D.O.B /) is an active cat with light blue eyes. Passionate cat lover only. If you're really really interested, feel free to contact(wassap) me and provide me details as below: Name: Location: Etc... Adoption fee are negotiable. Self pick up. TQ 😊",ea92dcef6-2.jpg,Domestic_Medium_Hair,True
Dog,12.0,Male,Gray,Unknown,Unknown,Small,No,Yes,Yes,No,Healthy,200.0,"Handsome is a very smart,loving and adorable dog, He love children & like to take a walk with owner. Now looking for a new home cos we don't have so much time to look after it. He loves human attention too. No caging or chaining is allowed, Handsome must be allowed to run freely in the house compound. Only serious adopters will be entertained.",fe3a83fe5-4.jpg,Schnauzer,True
Cat,3.0,Male,Brown,Golden,Unknown,Medium,Yes,Yes,Yes,No,Healthy,10.0,"He is SURVIVOR. He used to stay with two of his siblings which looks younger than him when he first appear in front of our clinic on 26 DEC . Unfortunately, he is the only one left now, the other two passed away and now you understand how he got his name :) Currently he becomes our clinic cat, he is a Malaysian Ridgeback :) We estimate he is only about 3 months old. He has a very good appetite, 1.8kg according to the last body weight check on last week. Appearance : ginger in colour, long & straight tail. Characteristic : very playful, mischievous, extroverted, friendly, sociable, loving and brave ( he is not scared of some of the dogs or big cats ) Special ability : Balance-on-shoulder, tail whip I am sure Survivor will bring A LOT of fun to your life if you adopt him. Please contact me if you are interested, SEAH or Harley Darius (Temporary owner) or visit Survivor in Yeoh Veterinary Clinic and Surgery in Taman Megah, ()",b2d35633c-8.jpg,Domestic_Short_Hair,False
Cat,2.0,Male,Gray,White,Unknown,Medium,No,No,No,No,Healthy,0.0,"I just found Snowflake at a local Tesco carpark, earlier today. He was so hungry and thirsty but he could not find any food or drink there. I brought him home afraid that he might get hit by a car. There was also no sign of him having siblings or a mother. He is very healthy and is able to eat dried food, kibbles, or even wet food. He is already litter-trained. Besides that, he is very active and loves to explore new environment. At this young age, he is extremely playful and he keeps interacting with me as well as giving my cat kisses. However, i can only foster him for another week as i will be leaving Malaysia next week. Hopefully, someone will adopt him before i leave. The current location is Tronoh, Perak. I could deliver him to Ipoh or Penang or other states for free if you are really interested in keeping him. For fast response, contact me via PM.",d8d014d03-13.jpg,Domestic_Medium_Hair,False
Dog,2.0,Male,Brown,Golden,Unknown,Small,No,No,No,No,Healthy,150.0,Fees are collected for spaying the dog. Bubu is very playful male pup. He is fatter compared to his brother and he loves to play and sleep on his brother despite he is fat and bubbly. Bubu is tailless like his mama.,c723171ff-4.jpg,Mixed_Breed,True
Dog,12.0,Female,Black,Brown,Unknown,Medium,No,No,No,Unknown,Healthy,0.0,"Jaws was rescued by two independent rescuers from a busy road at times square. She's believed to have been dumped by her previous owners as she has a leash mark around her neck. Jaws has a minor deformity in her jaw as the lower jaw is shorter than her upper jaw. She is a very sweet and loving girl and needs a family that can commit to taking care of her for the rest of her life. She will be dewormed, vaccinated and spayed as soon as the vet confirms she's ready. Adopter cannot cage or chain her for long periods of time Only serious adopters will be entertained.",6276a846c-4.jpg,Mixed_Breed,True
Dog,27.0,Female,Brown,White,Unknown,Medium,No,Yes,Yes,Yes,Healthy,0.0,"Feisty, a female dog was rescued from the street in Seri Kembangan, Selangor, around 2 - 2 1/3 years old, very healthy (blood tests done- no health issue), had been spayed, vaccinated, dewormed and frontline combo treated and heartgard given). Medium in size, has good temperament, can get along with other dogs and make a good guard dog. She is toilet trained; only do it on grass area. She has brown ears and botches of brown around her white body. Currently being fostered while waiting for a loving home to adopt her. Unfortunately, the kind fosterer has just been told by her landlord to have all the dogs removed from the house immediately or to vacate the house by this week (28/4/13). Please give this loving and beautiful girl a chance. Please call/sms WM Cheong ( ).",71f245b82-1.jpg,Mixed_Breed,False
Dog,2.0,Female,Brown,Unknown,Unknown,Medium,Yes,No,No,No,Healthy,0.0,"Hello, My name is Maggie. I'm so cute and active. I'm currently looking for a nice home to play at and live at. Please adopt me... Call or If your interested in adopting me. A must view.",b94ddd6a9-3.jpg,Mixed_Breed,True
