"","age","c_charge_degree","race","age_cat","score_text","sex","priors_count","days_b_screening_arrest","decile_score","is_recid","two_year_recid","c_jail_in","c_jail_out"
"50",49,"M","African-American","Greater than 45","Low","Male",4,-1,1,0,0,"2013-08-26 09:16:39","2013-08-27 06:57:19"
"51",53,"F","Caucasian","Greater than 45","Medium","Male",8,-13,5,0,0,"2013-05-15 08:36:10","2013-05-28 10:06:35"
"52",35,"F","African-American","25 - 45","Low","Male",5,-1,3,0,0,"2013-02-10 07:44:42","2013-02-11 07:04:44"
"53",27,"F","African-American","25 - 45","High","Male",15,-1,10,1,1,"2014-08-29 04:58:13","2014-08-30 08:38:48"
"54",38,"M","Caucasian","25 - 45","Low","Male",4,-1,2,1,1,"2013-02-03 11:59:25","2013-02-05 11:05:50"
"55",22,"F","African-American","Less than 25","Low","Male",1,-1,4,1,1,"2013-11-15 06:56:49","2013-11-16 07:51:56"
"56",29,"F","African-American","25 - 45","High","Male",4,-1,9,1,1,"2013-01-25 10:34:01","2013-02-13 09:36:41"
"57",62,"M","Hispanic","Greater than 45","Low","Male",0,0,1,0,0,"2013-01-08 12:33:09","2013-01-08 09:41:28"
"58",27,"F","African-American","25 - 45","Medium","Male",6,0,6,1,1,"2014-04-30 02:11:49","2014-05-30 04:59:14"
"59",33,"M","Other","25 - 45","Low","Male",0,-1,1,0,0,"2014-03-08 01:34:03","2014-03-09 10:21:45"
"60",56,"M","African-American","Greater than 45","Low","Female",0,0,1,0,0,"2013-09-28 02:52:18","2013-10-01 07:39:52"
"61",45,"F","Hispanic","Greater than 45","Low","Male",6,-1,1,1,1,"2013-01-12 05:43:00","2013-09-11 04:51:56"
"62",22,"F","Hispanic","Less than 25","Low","Male",1,-1,4,0,0,"2013-05-24 06:06:17","2013-05-25 07:28:17"
"63",39,"M","African-American","25 - 45","Low","Male",1,-1,4,0,0,"2013-03-06 11:23:53","2013-03-11 09:00:57"
"64",29,"F","African-American","25 - 45","Medium","Male",5,0,6,1,1,"2013-01-07 02:12:47","2013-01-08 05:19:42"
"65",27,"F","Caucasian","25 - 45","Medium","Male",1,-1,6,1,1,"2014-12-02 03:23:28","2014-12-16 09:24:24"
"66",40,"F","African-American","25 - 45","Low","Male",2,-15,2,0,0,"2013-07-02 03:42:01","2013-07-05 08:13:10"
"67",22,"M","African-American","Less than 25","Low","Male",1,0,3,1,1,"2013-08-25 12:07:09","2013-09-11 08:04:08"
"68",22,"F","Caucasian","Less than 25","High","Male",0,-1,8,0,0,"2013-02-18 12:24:07","2013-04-17 10:32:09"
"69",26,"F","African-American","25 - 45","Low","Female",1,-1,4,1,1,"2013-11-07 09:01:45","2013-11-09 09:07:50"
"70",32,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2013-03-03 03:33:48","2013-03-04 07:08:59"
"71",41,"M","African-American","25 - 45","Low","Male",1,-1,2,0,0,"2013-02-27 09:49:07","2013-03-01 01:59:16"
"72",30,"M","African-American","25 - 45","High","Male",8,-1,10,1,1,"2013-02-20 02:14:37","2013-02-21 07:47:06"
"73",50,"F","Other","Greater than 45","Low","Male",0,-1,1,1,1,"2014-08-06 12:43:24","2014-08-07 08:29:46"
"74",25,"F","African-American","25 - 45","High","Male",14,-1,10,1,1,"2013-04-19 02:20:32","2013-04-26 05:45:46"
"75",20,"F","Other","Less than 25","Medium","Male",0,-1,5,1,1,"2013-10-02 05:50:22","2013-10-03 08:15:24"
"76",22,"F","African-American","Less than 25","High","Male",2,0,9,1,1,"2014-01-16 02:39:46","2014-02-15 04:39:31"
"77",35,"M","African-American","25 - 45","Low","Female",1,-1,2,0,0,"2013-03-29 06:55:39","2013-03-30 03:12:37"
"78",36,"F","African-American","25 - 45","Medium","Male",9,0,7,1,1,"2014-04-29 12:24:22","2014-05-03 04:26:44"
"79",26,"F","Caucasian","25 - 45","High","Male",7,0,8,1,1,"2013-01-12 04:53:07","2013-01-12 07:28:51"
"80",21,"F","Other","Less than 25","Medium","Male",1,0,6,1,1,"2013-04-20 12:30:29","2013-04-24 10:36:19"
"81",25,"F","Caucasian","25 - 45","High","Male",9,-1,8,1,1,"2014-12-12 07:27:40","2014-12-13 07:23:49"
"82",20,"F","Caucasian","Less than 25","Medium","Female",0,-1,7,0,0,"2013-11-13 11:21:14","2013-11-14 01:36:21"
"83",39,"F","Caucasian","25 - 45","Low","Male",2,-2,1,1,1,"2013-02-11 12:50:21","2013-02-11 07:33:17"
"84",54,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0,"2013-04-15 01:07:24","2013-04-15 07:56:24"
"85",44,"M","Hispanic","25 - 45","Low","Female",0,-2,1,0,0,"2013-08-18 03:23:05","2013-08-19 06:27:00"
"86",19,"M","African-American","Less than 25","Low","Male",1,-10,4,1,1,"2014-11-04 07:39:38","2014-11-13 10:02:51"
"87",30,"F","African-American","25 - 45","Low","Male",1,-1,2,0,0,"2013-09-08 09:39:18","2013-09-09 08:03:09"
"88",39,"F","Caucasian","25 - 45","Low","Female",0,-1,1,1,1,"2013-09-04 11:36:38","2013-09-06 04:07:01"
"89",24,"F","Caucasian","Less than 25","Medium","Male",8,-1,6,1,1,"2013-04-10 05:59:23","2013-04-22 10:32:05"
"90",30,"F","Caucasian","25 - 45","Low","Male",0,-1,4,0,0,"2013-08-28 11:22:24","2013-09-03 10:40:45"
"91",31,"M","Caucasian","25 - 45","Medium","Male",0,-1,5,0,0,"2014-02-20 09:46:47","2014-03-31 09:04:43"
"92",39,"F","Caucasian","25 - 45","Low","Female",1,-1,4,0,0,"2013-02-25 07:42:47","2013-06-12 04:31:04"
"93",43,"F","Caucasian","25 - 45","Low","Male",1,-30,1,0,0,"2013-07-16 06:41:37","2013-07-17 07:35:00"
"94",21,"F","African-American","Less than 25","High","Male",3,-1,9,1,1,"2013-03-01 01:43:35","2013-03-07 08:20:12"
"95",38,"M","Caucasian","25 - 45","Low","Male",5,-1,4,1,1,"2013-01-15 08:16:11","2013-01-18 04:32:15"
"96",34,"F","Caucasian","25 - 45","Medium","Male",0,0,5,0,0,"2013-02-15 10:54:22","2013-03-02 09:04:47"
"97",33,"F","African-American","25 - 45","Medium","Male",5,0,5,1,1,"2013-11-17 01:23:30","2013-11-17 08:15:06"
"98",37,"F","African-American","25 - 45","Low","Male",3,0,2,0,0,"2013-11-18 03:46:24","2013-11-19 10:18:36"
"99",42,"F","Caucasian","25 - 45","Low","Male",1,0,2,1,1,"2013-03-16 03:53:03","2013-03-17 01:43:20"
"100",41,"F","African-American","25 - 45","High","Male",10,0,9,1,1,"2013-09-06 04:25:05","2014-03-01 04:39:46"
"101",22,"F","African-American","Less than 25","Low","Male",0,-1,4,1,1,"2013-11-12 03:57:04","2013-11-13 01:01:29"
"102",33,"F","African-American","25 - 45","High","Male",28,-1,8,1,1,"2014-01-10 08:06:40","2014-01-12 04:07:52"
"103",31,"M","African-American","25 - 45","Medium","Male",1,-1,7,0,0,"2013-10-13 03:47:49","2013-10-14 08:18:17"
"104",30,"F","Other","25 - 45","Low","Female",1,-1,2,0,0,"2013-10-28 07:07:32","2013-10-29 09:49:38"
"105",31,"F","Caucasian","25 - 45","High","Male",13,-1,10,1,1,"2013-02-25 06:43:30","2014-06-11 12:57:06"
"106",27,"F","African-American","25 - 45","High","Male",3,-1,9,1,1,"2014-11-14 12:10:00","2014-11-15 11:29:02"
"107",52,"M","Caucasian","Greater than 45","High","Male",3,-2,9,0,0,"2013-07-27 10:50:36","2013-07-28 02:01:45"
"108",33,"F","African-American","25 - 45","High","Male",19,-1,10,1,1,"2013-12-28 10:22:08","2013-12-29 07:10:39"
"109",42,"F","Caucasian","25 - 45","Low","Male",6,-4,3,0,0,"2013-09-13 12:01:41","2013-09-13 09:01:37"
"110",25,"F","Caucasian","25 - 45","Low","Female",2,-1,4,0,0,"2013-12-22 01:36:59","2013-12-25 02:33:32"
"111",30,"M","Caucasian","25 - 45","Low","Male",1,-20,2,0,0,"2013-10-30 06:36:57","2013-11-03 02:08:43"
"112",37,"M","Other","25 - 45","Low","Female",2,-1,2,0,0,"2013-12-29 10:42:45","2013-12-31 04:10:00"
"113",28,"M","Caucasian","25 - 45","Low","Male",0,-1,2,1,1,"2014-12-18 11:16:49","2014-12-19 08:34:46"
"114",24,"M","African-American","Less than 25","Low","Female",0,-1,2,0,0,"2014-02-06 01:25:28","2014-02-08 12:00:39"
"115",29,"F","Caucasian","25 - 45","Low","Female",10,-1,4,1,1,"2014-11-18 07:08:18","2014-11-25 09:31:21"
"116",44,"M","Caucasian","25 - 45","Low","Male",2,0,2,1,1,"2014-01-27 02:05:45","2014-01-27 01:32:12"
"117",32,"F","African-American","25 - 45","Medium","Male",3,-1,7,1,1,"2013-01-01 07:06:35","2013-01-09 08:36:21"
"118",31,"M","Caucasian","25 - 45","Low","Male",2,-16,3,1,1,"2013-08-20 05:28:11","2013-09-04 08:35:41"
"119",31,"M","African-American","25 - 45","Low","Male",1,-1,2,1,0,"2013-01-16 05:37:32","2013-01-17 07:15:11"
"120",59,"F","Caucasian","Greater than 45","Low","Male",1,-1,2,1,1,"2013-04-01 11:13:32","2013-04-02 01:06:22"
"121",20,"F","African-American","Less than 25","High","Female",1,0,10,0,0,"2013-11-20 09:36:33","2013-11-23 04:06:00"
"122",43,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,0,"2013-05-14 04:01:02","2013-05-15 03:11:16"
"123",38,"F","African-American","25 - 45","High","Male",9,-1,8,1,1,"2014-04-18 02:31:13","2014-05-01 05:39:49"
"124",32,"F","African-American","25 - 45","Medium","Male",11,-2,6,1,1,"2014-12-17 02:03:04","2014-12-18 08:41:05"
"125",33,"M","African-American","25 - 45","Medium","Male",8,-1,5,1,1,"2013-12-25 07:37:38","2013-12-26 01:30:44"
"126",31,"F","African-American","25 - 45","Low","Female",0,-1,3,1,1,"2014-10-22 11:17:38","2014-10-24 06:08:10"
"127",33,"F","African-American","25 - 45","High","Female",7,-1,9,1,1,"2013-01-10 01:18:15","2013-02-05 05:36:46"
"128",27,"F","African-American","25 - 45","High","Male",2,-1,9,1,1,"2013-04-15 05:49:27","2013-04-16 07:48:50"
"129",20,"F","African-American","Less than 25","Medium","Female",0,0,6,0,0,"2013-12-07 03:39:31","2013-12-07 07:28:49"
"130",26,"M","Caucasian","25 - 45","Medium","Female",0,-2,6,0,0,"2014-01-25 04:45:14","2014-01-26 02:13:40"
"131",61,"F","African-American","Greater than 45","Low","Female",1,-1,1,1,1,"2013-04-26 07:00:16","2013-04-27 01:09:09"
"132",52,"F","Other","Greater than 45","Medium","Male",13,-1,7,1,1,"2013-05-14 09:51:40","2013-05-16 03:32:12"
"133",63,"F","Hispanic","Greater than 45","Low","Male",1,-26,1,0,0,"2014-01-10 09:45:32","2014-01-25 05:08:15"
"134",32,"F","African-American","25 - 45","High","Female",4,-7,10,1,1,"2014-04-16 09:55:10","2014-04-23 05:27:00"
"135",29,"F","Hispanic","25 - 45","Low","Male",1,-1,4,0,0,"2013-09-05 06:24:46","2013-09-06 03:39:35"
"136",26,"M","African-American","25 - 45","Low","Female",2,-1,4,1,1,"2013-03-09 07:15:19","2013-03-10 01:31:38"
"137",39,"M","Caucasian","25 - 45","Low","Male",1,-1,4,0,0,"2014-02-10 10:59:01","2014-02-14 09:09:06"
"138",30,"F","Caucasian","25 - 45","Medium","Female",3,0,7,1,1,"2013-05-02 04:01:43","2014-10-14 06:03:58"
"139",30,"F","African-American","25 - 45","Medium","Male",1,0,7,0,0,"2013-03-02 01:19:52","2013-05-11 04:23:17"
"140",48,"M","Caucasian","Greater than 45","Low","Male",2,-1,2,0,0,"2013-09-25 12:51:27","2013-09-26 08:42:11"
"141",22,"F","African-American","Less than 25","Low","Male",1,-1,2,0,0,"2013-05-15 12:16:21","2013-05-16 09:03:09"
"142",46,"F","Caucasian","Greater than 45","Low","Male",6,22,1,1,1,"2013-03-05 09:31:17","2013-03-28 01:40:17"
"143",31,"F","Caucasian","25 - 45","Medium","Male",0,0,5,0,0,"2013-04-20 02:52:11","2013-04-22 09:19:35"
"144",25,"M","African-American","25 - 45","Low","Male",1,-1,2,1,1,"2013-09-16 03:35:39","2013-09-18 01:39:28"
"145",23,"F","Hispanic","Less than 25","Low","Male",0,-1,3,0,0,"2013-09-08 01:03:31","2013-09-08 02:03:07"
"146",32,"F","African-American","25 - 45","Medium","Female",5,-1,7,0,0,"2013-02-17 07:51:04","2013-02-18 10:17:02"
"147",52,"M","Hispanic","Greater than 45","Low","Male",2,-1,1,0,0,"2013-03-04 10:07:00","2013-03-07 11:56:36"
"148",62,"F","African-American","Greater than 45","Low","Male",8,0,4,0,0,"2013-02-05 12:23:14","2013-02-21 04:06:55"
"149",31,"F","Hispanic","25 - 45","High","Male",8,29,9,1,1,"2013-08-23 05:18:39","2013-12-18 10:43:00"
"150",28,"M","African-American","25 - 45","Medium","Male",6,-1,6,1,1,"2013-03-17 09:01:58","2013-03-18 01:40:10"
"151",54,"F","Hispanic","Greater than 45","Low","Male",2,-1,1,0,0,"2013-08-28 02:23:37","2014-03-04 11:31:17"
"152",58,"F","Hispanic","Greater than 45","Low","Male",0,-1,2,0,0,"2013-03-13 10:02:13","2013-03-14 02:21:27"
"153",78,"M","Caucasian","Greater than 45","Low","Male",1,-1,1,1,1,"2014-09-19 10:36:52","2014-09-20 07:10:15"
"154",56,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2014-03-02 03:51:04","2014-03-03 07:47:20"
"155",24,"F","Other","Less than 25","Low","Male",0,-1,2,0,0,"2014-01-13 09:13:09","2014-01-15 08:37:12"
"156",22,"F","African-American","Less than 25","Medium","Male",1,0,5,1,1,"2014-04-24 01:23:50","2014-04-24 01:25:52"
"157",47,"M","African-American","Greater than 45","High","Male",23,-1,8,1,1,"2013-02-02 08:19:13","2013-02-03 05:06:15"
"158",23,"M","African-American","Less than 25","Low","Male",0,-1,2,1,1,"2014-01-05 11:08:48","2014-01-06 12:02:14"
"159",57,"F","Hispanic","Greater than 45","Low","Male",1,0,1,0,0,"2013-10-25 09:20:19","2013-11-14 02:05:31"
"160",66,"F","African-American","Greater than 45","Low","Male",3,-10,1,1,0,"2013-06-01 11:04:44","2013-06-03 11:25:14"
"161",45,"M","Caucasian","Greater than 45","Low","Male",8,0,4,1,1,"2014-02-17 02:38:50","2014-04-29 04:18:29"
"162",37,"M","African-American","25 - 45","High","Male",2,0,9,1,1,"2013-12-24 03:40:12","2013-12-24 08:53:51"
"163",39,"F","Caucasian","25 - 45","Low","Male",0,0,4,1,1,"2014-03-02 05:08:46","2014-03-03 03:17:00"
"164",26,"F","African-American","25 - 45","High","Male",9,0,9,1,1,"2014-11-14 01:28:54","2015-02-01 08:34:27"
"165",45,"F","Caucasian","Greater than 45","Low","Male",2,-1,3,0,0,"2013-01-31 04:11:55","2014-01-25 03:27:03"
"166",23,"F","African-American","Less than 25","Low","Male",0,-1,3,1,1,"2014-04-25 10:29:59","2014-04-26 09:57:20"
"167",34,"M","African-American","25 - 45","Low","Male",2,0,2,1,0,"2014-01-31 12:35:27","2014-02-26 05:50:20"
"168",23,"M","African-American","Less than 25","Low","Female",1,-1,4,0,0,"2013-08-20 11:57:06","2013-08-21 07:50:16"
"169",36,"M","Other","25 - 45","Low","Male",2,-1,3,1,1,"2014-01-27 10:23:53","2014-01-30 10:04:48"
"170",50,"F","Caucasian","Greater than 45","Low","Male",1,-4,1,0,0,"2013-09-12 09:32:07","2013-09-14 03:06:18"
"171",37,"M","Caucasian","25 - 45","Low","Female",0,-1,3,0,0,"2013-11-07 02:53:47","2013-11-07 09:00:57"
"172",44,"M","Caucasian","25 - 45","Low","Male",4,0,4,0,0,"2013-01-06 04:51:37","2013-01-07 10:41:46"
"173",35,"F","African-American","25 - 45","High","Female",23,-1,9,1,1,"2014-07-12 03:02:54","2014-07-14 05:19:00"
"174",24,"F","Other","Less than 25","Medium","Male",5,-1,5,1,1,"2014-10-07 12:01:33","2014-10-08 08:26:09"
"175",26,"F","African-American","25 - 45","High","Male",2,-1,10,1,1,"2013-04-17 06:43:21","2013-04-18 10:07:23"
"176",27,"M","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2013-03-25 12:25:41","2013-03-28 05:58:56"
"177",28,"F","African-American","25 - 45","High","Female",0,0,8,0,0,"2013-10-29 04:01:57","2013-11-27 06:51:07"
"178",28,"F","Caucasian","25 - 45","High","Female",7,-1,9,1,1,"2013-10-09 09:15:07","2013-10-10 09:46:20"
"179",38,"F","African-American","25 - 45","Low","Male",2,-1,1,0,0,"2013-03-19 04:21:06","2013-03-20 09:34:48"
"180",28,"F","African-American","25 - 45","High","Female",1,-1,9,0,0,"2013-01-01 06:27:15","2013-02-09 02:24:08"
"181",56,"F","Caucasian","Greater than 45","Low","Male",7,-1,1,1,1,"2013-03-19 11:00:49","2013-03-20 01:32:28"
"182",38,"F","African-American","25 - 45","High","Male",15,-1,9,0,0,"2013-02-18 09:26:05","2013-02-20 03:43:56"
"183",28,"M","African-American","25 - 45","Medium","Male",2,-1,5,0,0,"2013-10-30 07:57:19","2013-10-31 01:45:23"
"184",51,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,1,1,"2014-01-12 08:37:58","2014-01-13 02:00:36"
"185",51,"M","Caucasian","Greater than 45","Low","Male",0,-1,2,0,0,"2013-10-30 11:27:14","2013-10-31 08:46:16"
"186",36,"M","Other","25 - 45","Low","Male",1,-1,1,1,1,"2013-01-06 09:15:11","2013-01-07 11:01:40"
"187",48,"F","African-American","Greater than 45","Low","Male",0,-1,1,0,0,"2013-01-12 06:40:25","2013-01-13 09:03:52"
"188",37,"F","Caucasian","25 - 45","Low","Male",4,0,3,1,1,"2013-04-17 04:44:25","2013-04-19 01:08:53"
"189",30,"F","African-American","25 - 45","Medium","Female",2,-1,7,0,0,"2013-05-12 06:56:40","2013-05-15 02:06:25"
"190",41,"M","African-American","25 - 45","Medium","Female",5,0,6,0,0,"2013-11-05 02:09:51","2013-11-05 07:57:55"
"191",27,"F","African-American","25 - 45","High","Male",11,-1,10,1,1,"2013-04-23 07:22:20","2013-12-02 11:28:01"
"192",37,"M","African-American","25 - 45","Low","Male",0,-1,1,1,0,"2013-02-16 07:22:50","2013-02-18 02:10:02"
"193",33,"F","Other","25 - 45","Low","Male",4,0,4,1,1,"2014-04-30 02:37:51","2014-05-02 05:55:00"
"194",54,"F","African-American","Greater than 45","High","Male",11,-1,9,0,0,"2013-05-06 08:51:14","2013-09-13 05:58:39"
"195",23,"F","African-American","Less than 25","High","Male",2,-1,9,0,0,"2013-05-08 10:09:34","2013-07-19 06:36:57"
"196",41,"M","African-American","25 - 45","Low","Male",0,0,1,0,0,"2014-01-25 09:44:01","2014-01-26 06:31:19"
"197",52,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-05-15 11:15:03","2013-05-16 08:50:44"
"198",43,"F","Caucasian","25 - 45","Low","Male",13,0,4,1,1,"2013-02-20 01:55:05","2013-04-12 09:45:26"
"199",52,"F","African-American","Greater than 45","Low","Male",0,-1,4,0,0,"2014-02-03 03:50:35","2014-02-17 02:20:23"
"200",28,"F","Caucasian","25 - 45","Low","Male",1,-3,1,0,0,"2013-05-14 04:20:05","2013-05-17 10:53:34"
"201",30,"M","African-American","25 - 45","High","Male",11,-1,9,1,1,"2014-08-05 03:19:41","2014-08-06 08:40:28"
"202",28,"F","Caucasian","25 - 45","Medium","Male",1,0,5,0,0,"2013-09-27 04:35:20","2013-10-03 08:39:37"
"203",22,"F","African-American","Less than 25","Low","Male",0,-1,4,0,0,"2013-02-21 03:42:13","2013-02-22 01:52:11"
"204",30,"F","African-American","25 - 45","Low","Male",4,0,2,0,0,"2013-03-05 04:44:39","2013-03-05 01:41:22"
"205",25,"F","Hispanic","25 - 45","Low","Male",4,0,4,0,0,"2013-11-03 02:47:28","2013-11-04 07:59:32"
"206",31,"F","Caucasian","25 - 45","High","Male",0,-1,8,1,1,"2014-12-30 04:53:40","2015-01-30 04:31:37"
"207",37,"F","Caucasian","25 - 45","Low","Male",0,-1,2,1,1,"2014-04-18 05:22:38","2014-05-23 05:31:44"
"208",32,"F","African-American","25 - 45","High","Male",14,-1,9,0,0,"2013-12-16 05:05:35","2013-12-17 08:47:25"
"209",53,"M","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0,"2013-01-15 05:53:17","2013-01-16 07:01:06"
"210",28,"F","African-American","25 - 45","High","Male",25,29,8,1,1,"2014-01-08 11:38:20","2014-02-03 10:50:45"
"211",44,"M","Caucasian","25 - 45","Medium","Male",8,-1,5,1,1,"2013-04-10 09:31:05","2013-04-15 09:09:29"
"212",25,"F","African-American","25 - 45","Low","Male",0,0,3,0,0,"2013-09-06 01:00:30","2013-09-06 09:12:00"
"213",22,"M","Caucasian","Less than 25","High","Male",1,0,8,1,1,"2013-01-31 12:38:45","2013-02-06 11:18:24"
"214",37,"M","Other","25 - 45","Low","Female",0,-1,1,0,0,"2013-12-08 01:55:28","2013-12-09 02:00:59"
"215",40,"F","Other","25 - 45","Low","Female",3,-1,2,0,0,"2013-10-22 09:03:15","2013-10-23 09:05:27"
"216",31,"M","Hispanic","25 - 45","Low","Female",0,-1,2,0,0,"2013-03-08 09:57:50","2013-03-09 07:56:27"
"217",23,"F","Hispanic","Less than 25","Medium","Male",1,-1,6,1,1,"2013-01-30 01:13:56","2013-01-31 07:24:25"
